baseline_id,model,split,query_row,relative_l2
B1,st_koh_pod,calibration,0,0.03624232906759051
B1,st_koh_pod,calibration,1,0.03791205397691688
B1,st_koh_pod,calibration,2,0.043443262182236216
B1,st_koh_pod,calibration,3,0.03258792410893533
B1,st_koh_pod,calibration,4,0.03511805079511448
B1,st_koh_pod,calibration,5,0.04832345342368048
B1,st_koh_pod,calibration,6,0.046539803835725826
B1,st_koh_pod,calibration,7,0.0520839849622505
B1,st_koh_pod,calibration,8,0.03739565925830152
B1,st_koh_pod,calibration,9,0.043021857102742846
B1,st_koh_pod,evaluation,10,0.040275126278271255
B1,st_koh_pod,evaluation,11,0.06056788019145891
B1,st_koh_pod,evaluation,12,0.0428631223396552
B1,st_koh_pod,evaluation,13,0.052016554856257925
B1,st_koh_pod,evaluation,14,0.048931340479560034
B1,st_koh_pod,evaluation,15,0.062292992592928725
B1,st_koh_pod,evaluation,16,0.04327688154597678
B2,st_nargp_pod,calibration,0,0.05098974270913101
B2,st_nargp_pod,calibration,1,0.051960030194616494
B2,st_nargp_pod,calibration,2,0.05890162965965027
B2,st_nargp_pod,calibration,3,0.0451951691677314
B2,st_nargp_pod,calibration,4,0.04992676909472892
B2,st_nargp_pod,calibration,5,0.06061813882263886
B2,st_nargp_pod,calibration,6,0.060134777653118525
B2,st_nargp_pod,calibration,7,0.06481197894985571
B2,st_nargp_pod,calibration,8,0.04881744144909269
B2,st_nargp_pod,calibration,9,0.055735983654252176
B2,st_nargp_pod,evaluation,10,0.057405176538865545
B2,st_nargp_pod,evaluation,11,0.08020001972992476
B2,st_nargp_pod,evaluation,12,0.06244751362481084
B2,st_nargp_pod,evaluation,13,0.06973859908953968
B2,st_nargp_pod,evaluation,14,0.06588835777307568
B2,st_nargp_pod,evaluation,15,0.07922904395209233
B2,st_nargp_pod,evaluation,16,0.05667302342473911
B3,st_mfdnn,calibration,0,0.08191726841293347
B3,st_mfdnn,calibration,1,0.09552796850739903
B3,st_mfdnn,calibration,2,0.1204197951686509
B3,st_mfdnn,calibration,3,0.1187571705032172
B3,st_mfdnn,calibration,4,0.15588796813855066
B3,st_mfdnn,calibration,5,0.17611360390174768
B3,st_mfdnn,calibration,6,0.19328259482450844
B3,st_mfdnn,calibration,7,0.18925945186727908
B3,st_mfdnn,calibration,8,0.20725379275577607
B3,st_mfdnn,calibration,9,0.2111144833314394
B3,st_mfdnn,evaluation,10,0.40775181515725545
B3,st_mfdnn,evaluation,11,0.432377516782365
B3,st_mfdnn,evaluation,12,0.4378574448204176
B3,st_mfdnn,evaluation,13,0.4573238007760918
B3,st_mfdnn,evaluation,14,0.46286204599753933
B3,st_mfdnn,evaluation,15,0.48297740697952274
B3,st_mfdnn,evaluation,16,0.47042551216301265
B4,st_mfdeeponet,calibration,0,0.0659668813119634
B4,st_mfdeeponet,calibration,1,0.07721083659825181
B4,st_mfdeeponet,calibration,2,0.07118345830450605
B4,st_mfdeeponet,calibration,3,0.07773567257541808
B4,st_mfdeeponet,calibration,4,0.0815469834075821
B4,st_mfdeeponet,calibration,5,0.1068542708810046
B4,st_mfdeeponet,calibration,6,0.0938971076576632
B4,st_mfdeeponet,calibration,7,0.10547879617285548
B4,st_mfdeeponet,calibration,8,0.09841492068092465
B4,st_mfdeeponet,calibration,9,0.10517222148374902
B4,st_mfdeeponet,evaluation,10,0.1442064574550004
B4,st_mfdeeponet,evaluation,11,0.17375177888689203
B4,st_mfdeeponet,evaluation,12,0.16647034523520665
B4,st_mfdeeponet,evaluation,13,0.17491673642677613
B4,st_mfdeeponet,evaluation,14,0.1763671313597333
B4,st_mfdeeponet,evaluation,15,0.18162216408016585
B4,st_mfdeeponet,evaluation,16,0.15635622166539415
B5,st_dmfal,calibration,0,0.03346933188022564
B5,st_dmfal,calibration,1,0.03723941869082584
B5,st_dmfal,calibration,2,0.04108418454289713
B5,st_dmfal,calibration,3,0.03556908668851911
B5,st_dmfal,calibration,4,0.03399695774635584
B5,st_dmfal,calibration,5,0.050949973443582576
B5,st_dmfal,calibration,6,0.04344043456517298
B5,st_dmfal,calibration,7,0.050689058951935075
B5,st_dmfal,calibration,8,0.03546340596229074
B5,st_dmfal,calibration,9,0.037253266508937136
B5,st_dmfal,evaluation,10,0.04739164764832746
B5,st_dmfal,evaluation,11,0.05946636721703898
B5,st_dmfal,evaluation,12,0.04361221314492859
B5,st_dmfal,evaluation,13,0.04454463333627484
B5,st_dmfal,evaluation,14,0.048735268676318964
B5,st_dmfal,evaluation,15,0.05796265823971337
B5,st_dmfal,evaluation,16,0.05185559752579657
B6,nomad_mf,calibration,0,0.10080794772382884
B6,nomad_mf,calibration,1,0.14442308109190416
B6,nomad_mf,calibration,2,0.16579885940750128
B6,nomad_mf,calibration,3,0.16367083064066099
B6,nomad_mf,calibration,4,0.20684659088278023
B6,nomad_mf,calibration,5,0.2259407733231308
B6,nomad_mf,calibration,6,0.2521796857956596
B6,nomad_mf,calibration,7,0.2454613469211509
B6,nomad_mf,calibration,8,0.27588406622834455
B6,nomad_mf,calibration,9,0.2640000876069249
B6,nomad_mf,evaluation,10,0.30331264343171327
B6,nomad_mf,evaluation,11,0.2874390769103236
B6,nomad_mf,evaluation,12,0.26108626060147466
B6,nomad_mf,evaluation,13,0.23798346779422352
