baseline_id,model,split,n_cases,rel_l2,rmse_raw_units,reused_from
B1,st_koh_pod,calibration,10,0.04126683787134946,0.8803478769983945,
B1,st_koh_pod,evaluation,7,0.0500319854691584,1.073659524474776,
B2,st_nargp_pod,calibration,10,0.0547091661354816,1.1613735452971006,
B2,st_nargp_pod,evaluation,7,0.06736881916186399,1.439617428256376,
B3,st_mfdnn,calibration,10,0.15495340974115018,3.4056914196255055,
B3,st_mfdnn,evaluation,7,0.45022507752517205,9.555898246992594,
B4,st_mfdeeponet,calibration,10,0.08834611490739185,1.8905889296779104,
B4,st_mfdeeponet,evaluation,7,0.1676701193013098,3.5620427069861393,
B5,st_dmfal,calibration,10,0.039915511898074206,0.852721915133949,
B5,st_dmfal,evaluation,7,0.05050976939834268,1.0780500331155993,
B6,nomad_mf,calibration,10,0.20450132696218865,4.470069599838556,
B6,nomad_mf,evaluation,7,0.23917920890023406,5.15763354625216,
B7,mfrnp,calibration,10,0.17913220099030586,3.7850331659068948,
B7,mfrnp,evaluation,7,0.19491514537346452,4.136230179271515,
B8,fno_coregionalization,calibration,10,0.04845388585303958,1.0260693239703629,
B8,fno_coregionalization,evaluation,7,0.0515025334760673,1.095908760309059,
B9,mf_fno_transfer,calibration,10,0.08253256386454016,1.7550900063007586,
B9,mf_fno_transfer,evaluation,7,0.11888788412052662,2.5312232861996717,
B10,mf_fno_transfer_bar,calibration,10,0.08253256386454016,1.7550900063007586,mf_fno_transfer
B10,mf_fno_transfer_bar,evaluation,7,0.11888788412052662,2.5312232861996717,mf_fno_transfer
B11,st_lf_affine_pod,calibration,10,0.08009698650524873,1.6913035021020777,
B11,st_lf_affine_pod,evaluation,7,0.08445676430241209,1.7926881437318407,
B12,st_knn,calibration,10,0.04102827745173558,0.8753219584873476,
B12,st_knn,evaluation,7,0.05164194115299283,1.108830044557047,
