seed,query_row,evaluation_case,method,relative_l2,error_percent
71,10,1,expert:mf_fno_transfer_film,0.17993583763449067,17.993583763449067
71,11,2,expert:mf_fno_transfer_film,0.1700961289856892,17.00961289856892
71,12,3,expert:mf_fno_transfer_film,0.1464915805046393,14.649158050463932
71,13,4,expert:mf_fno_transfer_film,0.13814084961394393,13.814084961394393
71,14,5,expert:mf_fno_transfer_film,0.12647485451485999,12.647485451485998
71,15,6,expert:mf_fno_transfer_film,0.1280100041494777,12.801000414947769
71,16,7,expert:mf_fno_transfer_film,0.10663656567419977,10.663656567419977
71,10,1,expert:mf_fno_allpairs,0.3700762833514775,37.00762833514775
71,11,2,expert:mf_fno_allpairs,0.27062224674666063,27.062224674666062
71,12,3,expert:mf_fno_allpairs,0.19251767594494745,19.251767594494744
71,13,4,expert:mf_fno_allpairs,0.14100808032536297,14.100808032536296
71,14,5,expert:mf_fno_allpairs,0.10053296976151892,10.053296976151891
71,15,6,expert:mf_fno_allpairs,0.08869925441155237,8.869925441155237
71,16,7,expert:mf_fno_allpairs,0.07548930689069738,7.5489306890697385
71,10,1,expert:convnext_unet_film,0.2918109520095885,29.18109520095885
71,11,2,expert:convnext_unet_film,0.2802362934461874,28.02362934461874
71,12,3,expert:convnext_unet_film,0.2531796799073222,25.31796799073222
71,13,4,expert:convnext_unet_film,0.21433845032031976,21.433845032031975
71,14,5,expert:convnext_unet_film,0.17637130999414494,17.637130999414495
71,15,6,expert:convnext_unet_film,0.12590272872257743,12.590272872257744
71,16,7,expert:convnext_unet_film,0.08589640795489199,8.5896407954892
71,10,1,expert:fno_fire_distcond,0.17543047697979988,17.54304769797999
71,11,2,expert:fno_fire_distcond,0.1467387042038049,14.673870420380489
71,12,3,expert:fno_fire_distcond,0.12321587809035989,12.32158780903599
71,13,4,expert:fno_fire_distcond,0.11089842548957593,11.089842548957593
71,14,5,expert:fno_fire_distcond,0.10053482961635302,10.053482961635302
71,15,6,expert:fno_fire_distcond,0.09959644495558645,9.959644495558646
71,16,7,expert:fno_fire_distcond,0.09532167800144146,9.532167800144146
71,10,1,expert:wno_transfer_film,0.10524934958940195,10.524934958940195
71,11,2,expert:wno_transfer_film,0.09385266532924495,9.385266532924495
71,12,3,expert:wno_transfer_film,0.0969883806948456,9.698838069484559
