dataset,seed,method,n_evaluation,rel_l2,rmse_raw_units,n_base_hf_train
era5,71,expert:mf_fno_transfer_film,7,0.14225511729675722,3.0590661414952125,55
era5,71,expert:mf_fno_allpairs,7,0.1769922596331739,4.333235432318358,55
era5,71,expert:convnext_unet_film,7,0.2039622603364332,4.592400125503314,55
era5,71,expert:fno_fire_distcond,7,0.12167663390527449,2.6473620449641007,55
era5,71,expert:wno_transfer_film,7,0.09753139767065291,2.0712382074188223,55
era5,71,expert:mf_deeponet,7,0.09536423348547049,2.023228111945891,55
era5,71,expert:st_hf_pod_gp,7,0.06736881921470356,1.4396174293936597,55
era5,71,expert:uqcorr_transolver_pred,7,0.20354074931308505,4.5626312156539655,55
era5,71,expert:uqcorr_convnext_pred,7,0.0824032652080809,1.752074801330734,55
era5,71,hf_only_control,7,0.2333362763975226,4.952681451625265,55
era5,71,training_mean_control,7,0.0673688197211345,1.4396174399580328,55
era5,71,b5__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,71,b5__inverse_mse,7,0.05788437153512492,1.242248997327591,55
era5,71,b5__full,7,0.06660705226508898,1.4347846647616156,55
era5,71,b5__uniform,7,0.06372988938693805,1.3754087657837073,55
era5,71,b5__auto,7,0.06660705226508898,1.4347846647616156,55
era5,71,b5__allpairs,7,0.1769922596331739,4.333235432318358,55
era5,71,b10__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,71,b10__inverse_mse,7,0.058358145777211656,1.2529088186727901,55
era5,71,b10__full,7,0.06473594203071682,1.4013971099371245,55
era5,71,b10__uniform,7,0.06372988938693805,1.3754087657837073,55
era5,71,b10__auto,7,0.06473594203071682,1.4013971099371245,55
era5,71,b10__allpairs,7,0.1769922596331739,4.333235432318358,55
era5,172,expert:mf_fno_transfer_film,7,0.14225511729675722,3.0590661414952125,55
era5,172,expert:mf_fno_allpairs,7,0.1769922596331739,4.333235432318358,55
era5,172,expert:convnext_unet_film,7,0.2039622603364332,4.592400125503314,55
era5,172,expert:fno_fire_distcond,7,0.12167663390527449,2.6473620449641007,55
era5,172,expert:wno_transfer_film,7,0.09753139767065291,2.0712382074188223,55
era5,172,expert:mf_deeponet,7,0.09536423348547049,2.023228111945891,55
era5,172,expert:st_hf_pod_gp,7,0.06736881921470356,1.4396174293936597,55
era5,172,expert:uqcorr_transolver_pred,7,0.20354074931308505,4.5626312156539655,55
era5,172,expert:uqcorr_convnext_pred,7,0.0824032652080809,1.752074801330734,55
era5,172,hf_only_control,7,0.2333362763975226,4.952681451625265,55
era5,172,training_mean_control,7,0.0673688197211345,1.4396174399580328,55
era5,172,b5__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,172,b5__inverse_mse,7,0.05869232563657987,1.260249929909168,55
era5,172,b5__full,7,0.06478038627269939,1.403155756159541,55
era5,172,b5__uniform,7,0.06372988938693805,1.3754087657837073,55
era5,172,b5__auto,7,0.06478038627269939,1.403155756159541,55
era5,172,b5__allpairs,7,0.1769922596331739,4.333235432318358,55
era5,172,b10__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,172,b10__inverse_mse,7,0.058358145777211656,1.2529088186727901,55
era5,172,b10__full,7,0.06473594203071682,1.4013971099371245,55
era5,172,b10__uniform,7,0.06372988938693805,1.3754087657837073,55
era5,172,b10__auto,7,0.06473594203071682,1.4013971099371245,55
era5,172,b10__allpairs,7,0.1769922596331739,4.333235432318358,55
era5,273,expert:mf_fno_transfer_film,7,0.14225511729675722,3.0590661414952125,55
era5,273,expert:mf_fno_allpairs,7,0.1769922596331739,4.333235432318358,55
era5,273,expert:convnext_unet_film,7,0.2039622603364332,4.592400125503314,55
era5,273,expert:fno_fire_distcond,7,0.12167663390527449,2.6473620449641007,55
era5,273,expert:wno_transfer_film,7,0.09753139767065291,2.0712382074188223,55
era5,273,expert:mf_deeponet,7,0.09536423348547049,2.023228111945891,55
era5,273,expert:st_hf_pod_gp,7,0.06736881921470356,1.4396174293936597,55
era5,273,expert:uqcorr_transolver_pred,7,0.20354074931308505,4.5626312156539655,55
era5,273,expert:uqcorr_convnext_pred,7,0.0824032652080809,1.752074801330734,55
era5,273,hf_only_control,7,0.2333362763975226,4.952681451625265,55
era5,273,training_mean_control,7,0.0673688197211345,1.4396174399580328,55
era5,273,b5__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,273,b5__inverse_mse,7,0.0578608587146683,1.2420962051554227,55
era5,273,b5__full,7,0.06324356488948447,1.3620019596763344,55
era5,273,b5__uniform,7,0.06372988938693805,1.3754087657837073,55
era5,273,b5__auto,7,0.06324356488948447,1.3620019596763344,55
era5,273,b5__allpairs,7,0.1769922596331739,4.333235432318358,55
era5,273,b10__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,273,b10__inverse_mse,7,0.058358145777211656,1.2529088186727901,55
era5,273,b10__full,7,0.06473594203071682,1.4013971099371245,55
era5,273,b10__uniform,7,0.06372988938693805,1.3754087657837073,55
era5,273,b10__auto,7,0.06473594203071682,1.4013971099371245,55
era5,273,b10__allpairs,7,0.1769922596331739,4.333235432318358,55
