dataset,class,selected,inverse,squared_fit,relative_l2_fit
darcy_generated,elliptic,0.025220196568950786,0.02546625570753838,0.023329038774827213,0.022868669239269068
ext__eikonal_2d,elliptic,0.018088125382175316,0.017649336013445222,0.017639483903041688,0.017684275979530848
sharp__helmholtz_2d,elliptic,0.0624592566531702,0.06888586722958986,0.06552195592249475,0.06314117364968426
poisson_generated_v2,elliptic,6.843416283350502e-05,7.996322831232386e-05,7.882190582979432e-05,7.567438879916449e-05
poisson_local,elliptic,0.00012093001298030472,0.0001250059384791473,0.00012912829963178295,0.00012237958783417165
ext__pressure_poisson_poiseuille,elliptic,0.0007335165604221624,0.0007685835865374569,0.0008024092898561945,0.0007643059466087122
heat_generated,diffusion,9.716317162075589e-05,5.9256997539802134e-05,6.203254887677932e-05,5.920678727286738e-05
heat_local,diffusion,6.619835423846401e-05,4.3657500074672277e-05,4.350846474454643e-05,4.3082172072913974e-05
lid_driven_cavity_v2,convection,0.0016429439414948936,0.0014208703607311325,0.0014169568283088334,0.0014175758217521003
fluid,convection,0.016069024826573578,0.015180622541260208,0.014966702000932893,0.01489978713803051
ext__rayleigh_benard_2d,convection,3.0089903282056452e-05,2.857478062174846e-05,2.688262441696798e-05,2.6806780285189086e-05
sharp__burgers_2d,shocks,0.005161857353224495,0.005125708550944196,0.005016558415723756,0.005015058964073993
sharp__euler,shocks,0.06092792456750313,0.05641170633002109,0.05732396381223309,0.05701398626001299
sharp__porous_medium_2d,porous,0.00032497316732467565,0.00026214808972888326,0.0002632087162040076,0.0002607570065238816
ext__cahn_hilliard_2d,reaction_diffusion,0.1216137469326068,0.11264557666798082,0.10661089946957066,0.10284189073212095
sharp__shallow_water_2d,waves,0.0036669248740744073,0.0035746477753025637,0.0038854817767385516,0.0038336243786052243
ext__wave_2d,waves,0.048407347923066175,0.04393511711604717,0.042745841023144326,0.04099670697322411
