dataset,model,proof,source,seed
darcy_generated,mf_fno_transfer_bar,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer_bar__darcy_generated__s42.json,42
darcy_generated,mf_fno_transfer,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer__darcy_generated__s42.json,42
darcy_generated,st_dmfal,source HF file hash,baseline_raw/st_dmfal__darcy_generated__s42.json,42
darcy_generated,st_koh_pod,source HF file hash,baseline_raw/st_koh_pod__darcy_generated__s42.json,42
darcy_generated,st_nargp_pod,source HF file hash,baseline_raw/st_nargp_pod__darcy_generated__s42.json,42
darcy_generated,st_mfdnn,source HF file hash,baseline_raw/st_mfdnn__darcy_generated__s42.json,42
darcy_generated,st_mfdeeponet,source HF file hash,baseline_raw/st_mfdeeponet__darcy_generated__s42.json,42
darcy_generated,nomad_mf,saved target rows and pre-export errors,baseline_raw/nomad_mf__darcy_generated__s42.json,42
darcy_generated,fno_coregionalization,saved target rows and pre-export errors,baseline_raw/fno_coregionalization__darcy_generated__s42.json,42
darcy_generated,st_knn,source HF file hash,baseline_raw/st_knn__darcy_generated__s42.json,42
darcy_generated,st_lf_affine_pod,source HF file hash,baseline_raw/st_lf_affine_pod__darcy_generated__s42.json,42
darcy_generated,mfrnp,saved target rows and pre-export errors,baseline_raw/mfrnp__darcy_generated__s42.json,42
darcy_generated,st_mean,source HF file hash,baseline_raw/st_mean__darcy_generated__s42.json,42
ext__eikonal_2d,mf_fno_transfer_bar,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer_bar__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,mf_fno_transfer,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,st_dmfal,source HF file hash,baseline_raw/st_dmfal__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,st_koh_pod,source HF file hash,baseline_raw/st_koh_pod__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,st_nargp_pod,source HF file hash,baseline_raw/st_nargp_pod__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,st_mfdnn,source HF file hash,baseline_raw/st_mfdnn__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,st_mfdeeponet,source HF file hash,baseline_raw/st_mfdeeponet__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,nomad_mf,saved target rows and pre-export errors,baseline_raw/nomad_mf__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,fno_coregionalization,saved target rows and pre-export errors,baseline_raw/fno_coregionalization__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,st_knn,source HF file hash,baseline_raw/st_knn__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,st_lf_affine_pod,source HF file hash,baseline_raw/st_lf_affine_pod__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,mfrnp,saved target rows and pre-export errors,baseline_raw/mfrnp__ext__eikonal_2d__s42.json,42
ext__eikonal_2d,st_mean,source HF file hash,baseline_raw/st_mean__ext__eikonal_2d__s42.json,42
sharp__helmholtz_2d,mf_fno_transfer_bar,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer_bar__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,mf_fno_transfer,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,st_dmfal,source HF file hash,baseline_raw/st_dmfal__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,st_koh_pod,source HF file hash,baseline_raw/st_koh_pod__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,st_nargp_pod,source HF file hash,baseline_raw/st_nargp_pod__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,st_mfdnn,source HF file hash,baseline_raw/st_mfdnn__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,st_mfdeeponet,source HF file hash,baseline_raw/st_mfdeeponet__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,nomad_mf,saved target rows and pre-export errors,baseline_raw/nomad_mf__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,fno_coregionalization,saved target rows and pre-export errors,baseline_raw/fno_coregionalization__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,st_knn,source HF file hash,baseline_raw/st_knn__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,st_lf_affine_pod,source HF file hash,baseline_raw/st_lf_affine_pod__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,mfrnp,saved target rows and pre-export errors,baseline_raw/mfrnp__sharp__helmholtz_2d__s42.json,42
sharp__helmholtz_2d,st_mean,source HF file hash,baseline_raw/st_mean__sharp__helmholtz_2d__s42.json,42
poisson_generated_v2,mf_fno_transfer_bar,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer_bar__poisson_generated_v2__s42.json,42
poisson_generated_v2,mf_fno_transfer,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer__poisson_generated_v2__s42.json,42
poisson_generated_v2,st_dmfal,source HF file hash,baseline_raw/st_dmfal__poisson_generated_v2__s42.json,42
poisson_generated_v2,st_koh_pod,source HF file hash,baseline_raw/st_koh_pod__poisson_generated_v2__s42.json,42
poisson_generated_v2,st_nargp_pod,source HF file hash,baseline_raw/st_nargp_pod__poisson_generated_v2__s42.json,42
poisson_generated_v2,st_mfdnn,source HF file hash,baseline_raw/st_mfdnn__poisson_generated_v2__s42.json,42
poisson_generated_v2,st_mfdeeponet,source HF file hash,baseline_raw/st_mfdeeponet__poisson_generated_v2__s42.json,42
poisson_generated_v2,nomad_mf,saved target rows and pre-export errors,baseline_raw/nomad_mf__poisson_generated_v2__s42.json,42
poisson_generated_v2,fno_coregionalization,saved target rows and pre-export errors,baseline_raw/fno_coregionalization__poisson_generated_v2__s42.json,42
poisson_generated_v2,st_knn,source HF file hash,baseline_raw/st_knn__poisson_generated_v2__s42.json,42
poisson_generated_v2,st_lf_affine_pod,source HF file hash,baseline_raw/st_lf_affine_pod__poisson_generated_v2__s42.json,42
poisson_generated_v2,mfrnp,saved target rows and pre-export errors,baseline_raw/mfrnp__poisson_generated_v2__s42.json,42
poisson_generated_v2,st_mean,source HF file hash,baseline_raw/st_mean__poisson_generated_v2__s42.json,42
poisson_local,mf_fno_transfer_bar,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer_bar__poisson_local__s42.json,42
