dataset,pde_class,calibration_budget,method,mean_relative_l2,error_percent,ratio_to_selected_single
darcy_generated,elliptic,5,single_l2,0.025220196568950786,2.5220196568950786,1.0
darcy_generated,elliptic,5,uniform,0.04837468017078467,4.837468017078467,1.9180929077428344
darcy_generated,elliptic,5,inverse_mse,0.02546625570753838,2.5466255707538377,1.0097564322274364
darcy_generated,elliptic,5,full,0.023329038774827216,2.3329038774827215,0.9250141532817464
darcy_generated,elliptic,5,allpairs,0.034407136731107034,3.4407136731107033,1.3642691735982153
ext__eikonal_2d,elliptic,5,single_l2,0.018088125382175312,1.8088125382175313,1.0
ext__eikonal_2d,elliptic,5,uniform,0.022000198688157866,2.2000198688157866,1.216278537622127
ext__eikonal_2d,elliptic,5,inverse_mse,0.017649336013445222,1.7649336013445223,0.9757415785517227
ext__eikonal_2d,elliptic,5,full,0.017639483903041684,1.7639483903041684,0.9751969057238107
ext__eikonal_2d,elliptic,5,allpairs,0.021513039550523857,2.1513039550523856,1.1893459988796615
sharp__helmholtz_2d,elliptic,5,single_l2,0.0624592566531702,6.245925665317021,1.0
sharp__helmholtz_2d,elliptic,5,uniform,0.0714405060124705,7.1440506012470495,1.1437937279524835
sharp__helmholtz_2d,elliptic,5,inverse_mse,0.06888586722958985,6.888586722958985,1.1028928444042483
sharp__helmholtz_2d,elliptic,5,full,0.06552195592249474,6.552195592249474,1.0490351540097793
sharp__helmholtz_2d,elliptic,5,allpairs,0.034775822177689215,3.4775822177689215,0.5567761135998746
poisson_generated_v2,elliptic,5,single_l2,6.843416283350502e-05,0.0068434162833505025,1.0
poisson_generated_v2,elliptic,5,uniform,0.011053610618380677,1.1053610618380676,161.5218212762133
poisson_generated_v2,elliptic,5,inverse_mse,7.996322831232387e-05,0.007996322831232387,1.1684694456899862
poisson_generated_v2,elliptic,5,full,7.882190582979432e-05,0.007882190582979433,1.1517917742569872
poisson_generated_v2,elliptic,5,allpairs,0.00038716113321883463,0.03871611332188346,5.657424847305687
poisson_local,elliptic,5,single_l2,0.0001209300129803047,0.012093001298030471,1.0
poisson_local,elliptic,5,uniform,0.042509963346055495,4.250996334605549,351.52533517861184
poisson_local,elliptic,5,inverse_mse,0.0001250059384791473,0.01250059384791473,1.033704829747322
poisson_local,elliptic,5,full,0.00012912829963178293,0.012912829963178293,1.0677936473290004
poisson_local,elliptic,5,allpairs,0.00535569030527788,0.535569030527788,44.287519477486
ext__pressure_poisson_poiseuille,elliptic,5,single_l2,0.0007335165604221624,0.07335165604221623,1.0
ext__pressure_poisson_poiseuille,elliptic,5,uniform,0.0008851890284157071,0.08851890284157071,1.2067744290684483
ext__pressure_poisson_poiseuille,elliptic,5,inverse_mse,0.0007685835865374571,0.07685835865374571,1.0478067272197815
ext__pressure_poisson_poiseuille,elliptic,5,full,0.0008024092898561945,0.08024092898561945,1.0939211643625089
ext__pressure_poisson_poiseuille,elliptic,5,allpairs,0.0006953215762798026,0.06953215762798026,0.9479289409357338
