dataset,seed,method,n_evaluation,rel_l2,rmse_raw_units,n_base_hf_train
sharp__cahn_hilliard,71,expert:mf_fno_transfer_film,20,0.4007639885155297,0.539134062426299,400
sharp__cahn_hilliard,71,expert:mf_fno_allpairs,20,0.3900988056487902,0.5277916890854557,400
sharp__cahn_hilliard,71,expert:convnext_unet_film,20,0.3917753671447145,0.5287954145391406,400
sharp__cahn_hilliard,71,expert:fno_fire_distcond,20,0.4155625676401174,0.5144973629190038,400
sharp__cahn_hilliard,71,expert:wno_transfer_film,20,0.5659108025041879,0.6111019063478842,400
sharp__cahn_hilliard,71,expert:mf_deeponet,20,0.8458821321193964,0.8783101079741527,400
sharp__cahn_hilliard,71,expert:st_hf_pod_gp,20,0.6353547282224883,0.6237755883085145,400
sharp__cahn_hilliard,71,expert:uqcorr_transolver_pred,20,0.5634855980722407,0.6467881801870791,400
sharp__cahn_hilliard,71,expert:uqcorr_convnext_pred,20,0.3811419997883154,0.49034558123087674,400
sharp__cahn_hilliard,71,hf_only_control,20,0.4247675387528296,0.5567705873920267,400
sharp__cahn_hilliard,71,training_mean_control,20,1.0078664698677753,0.8902488917547651,400
sharp__cahn_hilliard,71,b5__selected_single,20,0.4007639885155297,0.539134062426299,400
sharp__cahn_hilliard,71,b5__inverse_mse,20,0.39744873467345515,0.49411742283569005,400
sharp__cahn_hilliard,71,b5__full,20,0.4197805762546706,0.5072831908589553,400
sharp__cahn_hilliard,71,b5__uniform,20,0.42115002579159333,0.49959483011436273,400
sharp__cahn_hilliard,71,b5__auto,20,0.4007639885155297,0.539134062426299,400
sharp__cahn_hilliard,71,b5__allpairs,20,0.3900988056487902,0.5277916890854557,400
sharp__cahn_hilliard,71,b10__selected_single,20,0.4007639885155297,0.539134062426299,400
sharp__cahn_hilliard,71,b10__inverse_mse,20,0.4026748216526247,0.4942184627809238,400
sharp__cahn_hilliard,71,b10__full,20,0.4674041701586321,0.5226923964335634,400
sharp__cahn_hilliard,71,b10__uniform,20,0.42115002579159333,0.49959483011436273,400
sharp__cahn_hilliard,71,b10__auto,20,0.4007639885155297,0.539134062426299,400
sharp__cahn_hilliard,71,b10__allpairs,20,0.3900988056487902,0.5277916890854557,400
sharp__cahn_hilliard,71,b20__selected_single,20,0.4007639885155297,0.539134062426299,400
sharp__cahn_hilliard,71,b20__inverse_mse,20,0.4012527420201913,0.4936848710215324,400
sharp__cahn_hilliard,71,b20__full,20,0.4449241678782568,0.5195997090498037,400
sharp__cahn_hilliard,71,b20__uniform,20,0.42115002579159333,0.49959483011436273,400
