key	arxiv	venue_used	year	evidence
alain2017probes	1610.01644	iclr	2017	iclr<-dblp,semantic_scholar
alkin2024upt	2402.12365	neurips	2024	neurips<-dblp,registry_assertion
bartolucci2023reno	2305.19913	neurips	2023	neurips<-dblp,semantic_scholar
bassi2025relift	2509.12220	PREPRINT		none
boulle2022thesis	2210.16016	PREPRINT		none
chen2024dataefficient	2402.15734	neurips	2024	neurips<-dblp,semantic_scholar
chen2026mffm	2605.16118	PREPRINT		none
cranmer2020symbolic	2006.11287	neurips	2020	neurips<-semantic_scholar,openalex,registry_assertion
cunningham2024sae	2309.08600	iclr	2024	iclr<-dblp,semantic_scholar
dacrema2019progress	1907.06902	recsys	2019	recsys<-arxiv_journal_ref,dblp,semantic_scholar
fernandezgodino2023review	1609.07196	acse	2023	acse<-arxiv_journal_ref,semantic_scholar,openalex
frankle2020lmc	1912.05671	icml	2020	icml<-dblp,semantic_scholar,registry_assertion
george2024incremental	2211.15188	tmlr	2024	tmlr<-dblp,semantic_scholar
grinsztajn2022tabular	2207.08815	neurips	2022	neurips<-dblp,registry_assertion
gulrajani2021domainbed	2007.01434	iclr	2021	iclr<-dblp,semantic_scholar,registry_assertion
gupta2023pdearena	2209.15616	tmlr	2023	tmlr<-dblp,semantic_scholar
hao2024dpot	2403.03542	icml	2024	icml<-semantic_scholar,registry_assertion
herde2024poseidon	2405.19101	neurips	2024	neurips<-semantic_scholar,registry_assertion
huang2017adain	1703.06868	iccv	2017	iccv<-semantic_scholar,registry_assertion
huang2021labelprop	2010.13993	iclr	2021	iclr<-dblp,semantic_scholar,registry_assertion
kalimuthu2025loglo	2504.04260	tmlr	2025	tmlr<-dblp,semantic_scholar
kastor2026unet	2601.22654	PREPRINT		none
kim2018tcav	1711.11279	icml	2018	icml<-arxiv_journal_ref,semantic_scholar,registry_assertion
kirchmeyer2022coda	2202.01889	icml	2022	icml<-semantic_scholar,registry_assertion
koehler2024apebench	2411.00180	neurips	2024	neurips<-dblp,semantic_scholar,registry_assertion
kornblith2019cka	1905.00414	icml	2019	icml<-dblp,semantic_scholar,registry_assertion
kovachki2023neuraloperator	2108.08481	PREPRINT		none
krishnapriyan2021failure	2109.01050	neurips	2021	neurips<-arxiv_journal_ref,semantic_scholar,registry_assertion
lee2023surgical	2210.11466	iclr	2023	iclr<-dblp,semantic_scholar,registry_assertion
li2021fno	2010.08895	iclr	2021	iclr<-dblp,semantic_scholar,registry_assertion
li2022ifc	2207.00678	neurips	2022	neurips<-dblp,semantic_scholar,registry_assertion
li2023factformer	2305.17560	neurips	2023	neurips<-dblp,semantic_scholar,registry_assertion
li2026basis	2602.21551	PREPRINT		none
lippe2023pderefiner	2308.05732	neurips	2023	neurips<-semantic_scholar,registry_assertion
liu2025nipde	2505.23106	icml	2025	icml<-dblp,semantic_scholar
luo2023cfdbench	2310.05963	PREPRINT		none
luo2025transolverpp	2502.02414	icml	2025	icml<-dblp,semantic_scholar
mccabe2023mpp	2310.02994	PREPRINT		none
meyes2019ablation	1901.08644	PREPRINT		none
neyshabur2020transferred	2008.11687	neurips	2020	neurips<-arxiv_journal_ref,semantic_scholar,openalex,registry_assertion
niu2024mfrnp	2402.18846	icml	2024	icml<-dblp,semantic_scholar,registry_assertion
ohana2024thewell	2412.00568	neurips	2024	neurips<-dblp,semantic_scholar,registry_assertion
perez2018film	1709.07871	aaai	2018	aaai<-semantic_scholar,openalex,registry_assertion
qin2024spectral	2404.07200	PREPRINT		none
rahaman2019spectral	1806.08734	icml	2019	icml<-arxiv_journal_ref,semantic_scholar,registry_assertion
raonic2023cno	2302.01178	neurips	2023	neurips<-dblp,semantic_scholar,registry_assertion
ren2025superbench	2306.14070	dmlr	2025	dmlr<-dblp,semantic_scholar
seidman2022nomad	2206.03551	neurips	2022	neurips<-dblp,semantic_scholar,registry_assertion
serrano2024aroma	2406.02176	neurips	2024	neurips<-arxiv_journal_ref,semantic_scholar,registry_assertion
shen2024ups	2403.07187	tmlr	2024	tmlr<-dblp,semantic_scholar
shi2026sirenfno	2606.11518	PREPRINT		none
shokar2025pdecond	2509.09599	PREPRINT		none
takamoto2022pdebench	2210.07182	neurips	2022	neurips<-dblp,semantic_scholar,registry_assertion
tolooshams2025saeno	2509.03738	PREPRINT		none
tran2023ffno	2111.13802	iclr	2023	iclr<-dblp,semantic_scholar,registry_assertion
villatoro2026correlation	2512.02868	jcp	2026	jcp<-semantic_scholar,openalex
wang2022gar	2301.05729	neurips	2022	neurips<-semantic_scholar,registry_assertion
wang2026weightspace	2605.14546	PREPRINT		none
wu2022mfhnp	2206.04872	kdd	2022	kdd<-dblp,semantic_scholar,openalex
wu2023dmfd	2305.04392	icml	2023	icml<-dblp,semantic_scholar
wu2024transolver	2402.02366	icml	2024	icml<-dblp,semantic_scholar,registry_assertion
xing2019drc	1910.07577	PREPRINT		none
xu2020frequency	1901.06523	cicp	2020	cicp<-semantic_scholar,openalex
xue2025euno	2509.01293	PREPRINT		none
yang2024interpretableclimate	2403.18864	PREPRINT		none
yu2026fire	2601.22371	PREPRINT		none
zeng2023dlinear	2205.13504	aaai	2023	aaai<-semantic_scholar,openalex,registry_assertion
