model_name,split
E_S_WWC_WM_005,train
E_S_WWC_WM_006,train
E_S_WWC_WM_007,train
E_S_WWC_WM_008,train
E_S_WWC_WM_009,train
E_S_WWC_WM_010,train
E_S_WWC_WM_011,train
E_S_WWC_WM_012,val
E_S_WWC_WM_013,train
E_S_WWC_WM_014,train
E_S_WWC_WM_015,train
E_S_WWC_WM_016,train
E_S_WWC_WM_017,train
E_S_WWC_WM_020,train
E_S_WWC_WM_022,test
E_S_WWC_WM_023,train
E_S_WWC_WM_024,val
E_S_WWC_WM_025,test
E_S_WWC_WM_026,test
E_S_WWC_WM_027,train
E_S_WWC_WM_028,train
E_S_WWC_WM_029,train
E_S_WWC_WM_030,train
E_S_WWC_WM_031,train
E_S_WWC_WM_032,train
E_S_WWC_WM_033,train
E_S_WWC_WM_034,train
E_S_WWC_WM_035,train
E_S_WWC_WM_036,train
E_S_WWC_WM_037,train
E_S_WWC_WM_038,train
E_S_WWC_WM_039,train
E_S_WWC_WM_040,train
E_S_WWC_WM_041,val
E_S_WWC_WM_043,train
E_S_WWC_WM_044,train
E_S_WWC_WM_045,test
E_S_WWC_WM_046,train
E_S_WWC_WM_047,train
E_S_WWC_WM_048,train
E_S_WWC_WM_049,train
E_S_WWC_WM_050,val
E_S_WWC_WM_051,test
E_S_WWC_WM_052,train
E_S_WWC_WM_053,val
E_S_WWC_WM_054,val
E_S_WWC_WM_055,train
E_S_WWC_WM_056,train
E_S_WWC_WM_057,train
E_S_WWC_WM_058,train
E_S_WWC_WM_059,val
E_S_WWC_WM_061,val
E_S_WWC_WM_062,train
E_S_WWC_WM_063,train
E_S_WWC_WM_064,train
E_S_WWC_WM_065,train
E_S_WWC_WM_066,train
E_S_WWC_WM_067,val
E_S_WWC_WM_068,test
E_S_WWC_WM_069,train
E_S_WWC_WM_070,train
E_S_WWC_WM_071,train
E_S_WWC_WM_072,train
E_S_WWC_WM_073,train
E_S_WWC_WM_074,train
E_S_WWC_WM_075,train
E_S_WWC_WM_076,train
E_S_WWC_WM_077,train
E_S_WWC_WM_078,val
E_S_WWC_WM_079,test
E_S_WWC_WM_080,train
E_S_WWC_WM_081,test
E_S_WWC_WM_082,train
E_S_WWC_WM_083,train
E_S_WWC_WM_084,train
E_S_WWC_WM_085,train
E_S_WWC_WM_086,train
E_S_WWC_WM_087,train
E_S_WWC_WM_088,train
E_S_WWC_WM_089,train
E_S_WWC_WM_090,train
E_S_WWC_WM_091,train
E_S_WWC_WM_093,train
E_S_WWC_WM_094,val
E_S_WWC_WM_095,train
E_S_WWC_WM_096,train
E_S_WWC_WM_098,train
E_S_WWC_WM_099,train
E_S_WWC_WM_100,train
E_S_WWC_WM_101,train
E_S_WWC_WM_102,train
E_S_WWC_WM_103,train
E_S_WWC_WM_104,train
E_S_WWC_WM_105,train
E_S_WWC_WM_106,train
E_S_WWC_WM_107,test
E_S_WWC_WM_108,train
E_S_WWC_WM_109,train
E_S_WWC_WM_110,train
E_S_WWC_WM_112,train
E_S_WWC_WM_113,train
E_S_WWC_WM_114,train
E_S_WWC_WM_115,train
E_S_WWC_WM_116,train
E_S_WWC_WM_117,train
E_S_WWC_WM_118,test
E_S_WWC_WM_119,train
E_S_WWC_WM_120,train
E_S_WWC_WM_121,train
E_S_WWC_WM_123,train
E_S_WWC_WM_124,train
E_S_WWC_WM_125,train
E_S_WWC_WM_126,train
E_S_WWC_WM_127,val
E_S_WWC_WM_128,train
E_S_WWC_WM_129,train
E_S_WWC_WM_130,train
E_S_WWC_WM_131,train
E_S_WWC_WM_132,train
E_S_WWC_WM_133,train
E_S_WWC_WM_134,train
E_S_WWC_WM_135,train
E_S_WWC_WM_136,train
E_S_WWC_WM_137,val
E_S_WWC_WM_139,train
E_S_WWC_WM_140,val
E_S_WWC_WM_141,train
E_S_WWC_WM_142,train
E_S_WWC_WM_143,train
E_S_WWC_WM_144,test
E_S_WWC_WM_145,train
E_S_WWC_WM_146,train
E_S_WWC_WM_147,train
E_S_WWC_WM_149,train
E_S_WWC_WM_150,test
E_S_WWC_WM_151,train
E_S_WWC_WM_152,test
E_S_WWC_WM_153,train
E_S_WWC_WM_154,train
E_S_WWC_WM_155,train
E_S_WWC_WM_156,val
E_S_WWC_WM_157,train
E_S_WWC_WM_158,train
E_S_WWC_WM_159,train
E_S_WWC_WM_160,val
E_S_WWC_WM_161,train
E_S_WWC_WM_162,val
E_S_WWC_WM_163,train
E_S_WWC_WM_164,train
E_S_WWC_WM_165,train
E_S_WWC_WM_166,train
E_S_WWC_WM_167,train
E_S_WWC_WM_168,train
E_S_WWC_WM_169,train
E_S_WWC_WM_170,train
E_S_WWC_WM_172,test
E_S_WWC_WM_173,train
E_S_WWC_WM_174,train
E_S_WWC_WM_175,train
E_S_WWC_WM_176,train
E_S_WWC_WM_177,train
E_S_WWC_WM_178,train
E_S_WWC_WM_179,train
E_S_WWC_WM_180,val
E_S_WWC_WM_181,train
E_S_WWC_WM_182,train
E_S_WWC_WM_183,train
E_S_WWC_WM_185,train
E_S_WWC_WM_186,train
E_S_WWC_WM_187,val
E_S_WWC_WM_188,val
E_S_WWC_WM_189,train
E_S_WWC_WM_190,train
E_S_WWC_WM_191,train
E_S_WWC_WM_192,train
E_S_WWC_WM_193,test
E_S_WWC_WM_194,train
E_S_WWC_WM_195,test
E_S_WWC_WM_196,train
E_S_WWC_WM_197,val
E_S_WWC_WM_198,train
E_S_WWC_WM_199,train
E_S_WWC_WM_200,train
E_S_WWC_WM_201,train
E_S_WWC_WM_202,train
E_S_WWC_WM_203,train
E_S_WWC_WM_204,train
E_S_WWC_WM_205,train
E_S_WWC_WM_206,train
E_S_WWC_WM_207,train
E_S_WWC_WM_208,train
E_S_WWC_WM_209,test
E_S_WWC_WM_210,train
E_S_WWC_WM_211,train
E_S_WWC_WM_212,train
E_S_WWC_WM_213,train
E_S_WWC_WM_214,train
E_S_WWC_WM_215,train
E_S_WWC_WM_216,train
E_S_WWC_WM_217,train
E_S_WWC_WM_218,train
E_S_WWC_WM_219,train
E_S_WWC_WM_220,val
E_S_WWC_WM_221,train
E_S_WWC_WM_222,train
E_S_WWC_WM_223,train
E_S_WWC_WM_224,test
E_S_WWC_WM_225,train
E_S_WWC_WM_226,train
E_S_WWC_WM_227,val
E_S_WWC_WM_228,train
E_S_WWC_WM_229,train
E_S_WWC_WM_230,train
E_S_WWC_WM_231,train
E_S_WWC_WM_232,train
E_S_WWC_WM_233,train
E_S_WWC_WM_234,train
E_S_WWC_WM_235,train
E_S_WWC_WM_236,train
E_S_WWC_WM_237,train
E_S_WWC_WM_238,train
E_S_WWC_WM_239,train
E_S_WWC_WM_240,train
E_S_WWC_WM_241,test
E_S_WWC_WM_242,train
E_S_WWC_WM_243,train
E_S_WWC_WM_244,val
E_S_WWC_WM_245,val
E_S_WWC_WM_246,train
E_S_WWC_WM_248,train
E_S_WWC_WM_249,train
E_S_WWC_WM_250,train
E_S_WWC_WM_251,train
E_S_WWC_WM_252,train
E_S_WWC_WM_253,train
E_S_WWC_WM_255,train
E_S_WWC_WM_256,train
E_S_WWC_WM_257,train
E_S_WWC_WM_258,test
E_S_WWC_WM_260,val
E_S_WWC_WM_261,train
E_S_WWC_WM_262,train
E_S_WWC_WM_263,train
E_S_WWC_WM_265,train
E_S_WWC_WM_266,train
E_S_WWC_WM_267,train
E_S_WWC_WM_268,train
E_S_WWC_WM_270,train
E_S_WWC_WM_271,train
E_S_WWC_WM_272,train
E_S_WWC_WM_273,train
E_S_WWC_WM_274,train
E_S_WWC_WM_275,train
E_S_WWC_WM_276,train
E_S_WWC_WM_277,train
E_S_WWC_WM_278,train
E_S_WWC_WM_279,train
E_S_WWC_WM_280,test
E_S_WWC_WM_282,train
E_S_WWC_WM_283,val
E_S_WWC_WM_284,val
E_S_WWC_WM_285,train
E_S_WWC_WM_286,train
E_S_WWC_WM_287,val
E_S_WWC_WM_288,train
E_S_WWC_WM_289,train
E_S_WWC_WM_290,train
E_S_WWC_WM_291,train
E_S_WWC_WM_292,test
E_S_WWC_WM_293,train
E_S_WWC_WM_294,train
E_S_WWC_WM_295,train
E_S_WWC_WM_296,train
E_S_WWC_WM_297,train
E_S_WWC_WM_298,train
E_S_WWC_WM_299,train
E_S_WWC_WM_301,train
E_S_WWC_WM_302,train
E_S_WWC_WM_303,train
E_S_WWC_WM_304,train
E_S_WWC_WM_305,train
E_S_WWC_WM_306,train
E_S_WWC_WM_307,train
E_S_WWC_WM_308,train
E_S_WWC_WM_309,train
E_S_WWC_WM_310,train
E_S_WWC_WM_311,test
E_S_WWC_WM_312,train
E_S_WWC_WM_313,train
E_S_WWC_WM_314,train
E_S_WWC_WM_315,train
E_S_WWC_WM_316,train
E_S_WWC_WM_317,train
E_S_WWC_WM_318,train
E_S_WWC_WM_319,train
E_S_WWC_WM_322,test
E_S_WWC_WM_323,train
E_S_WWC_WM_324,train
E_S_WWC_WM_325,train
E_S_WWC_WM_326,test
E_S_WWC_WM_327,train
E_S_WWC_WM_328,train
E_S_WWC_WM_329,train
E_S_WWC_WM_330,train
E_S_WWC_WM_331,train
E_S_WWC_WM_332,train
E_S_WWC_WM_333,train
E_S_WWC_WM_334,train
E_S_WWC_WM_335,test
E_S_WWC_WM_336,train
E_S_WWC_WM_337,val
E_S_WWC_WM_339,train
E_S_WWC_WM_340,test
E_S_WWC_WM_341,test
E_S_WWC_WM_342,train
E_S_WWC_WM_343,train
E_S_WWC_WM_344,train
E_S_WWC_WM_345,train
E_S_WWC_WM_346,train
E_S_WWC_WM_347,train
E_S_WWC_WM_348,train
E_S_WWC_WM_349,train
E_S_WWC_WM_350,train
E_S_WWC_WM_351,train
