model,elo_mean,elo_std,wins,losses,ties,n_datasets,geomean_all,geomean_smooth,geomean_sharp
mf_fno_allpairs,1624.4847956399126,40.251987739082736,61,29,0,10,0.025240128920804544,0.00895122985655823,0.07117056741337963
mf_fno_ptr,1589.409296994422,38.48316619209785,64,36,6,12,0.026625733588879617,0.012797249684682158,0.0742609492788711
mf_fno_foundation,1562.544038706406,39.772245805972155,63,43,0,12,0.029969484268289742,0.015784427741787063,0.0735376705719564
mf_fno_transfer_film,1551.8251470233217,40.85199586174639,58,42,6,12,0.026749899196629286,0.01290430885094287,0.07422402663794399
mf_fno_hyperfilm,1549.1184957756057,40.622011914824945,60,46,0,12,0.025493656629285086,0.011563151716899018,0.07711349791360167
mf_fno_richardson,1535.7257980753145,40.77917611898387,58,48,0,12,0.033326106723214205,0.019108875397382187,0.07260287419942496
mf_fno_spectral,1464.9103978320068,36.55183451482896,47,59,0,12,0.03536710986775894,0.01838817632896825,0.08836592912385793
mf_fno_transfer_bar,1454.6994057059085,39.66428736967422,46,60,0,12,0.03444128188688538,0.019934506257962715,0.07405300060834337
mf_fno_lora,1421.1108059355397,40.34670161785639,41,65,0,12,0.05770001963754778,0.034252864262431126,0.11974204071184111
mf_fno_diffprior,1246.1718183115624,34.20544586188965,18,88,0,12,0.9822635573369334,1.33577425620525,0.6387353895370754
