model,dataset,exit,nRMSE,secs
mf_fno_hyperfilm,era5,0,0.0771,93
mf_fno_hyperfilm,burgers_2d_generated,0,0.2954,25
mf_fno_allpairs,era5,0,0.1263,153
mf_fno_allpairs,burgers_2d_generated,0,0.2436,34
mf_fno_spectral,era5,0,0.0798,28
mf_fno_spectral,burgers_2d_generated,0,0.2883,21
mf_fno_richardson,era5,0,0.119,70
mf_fno_richardson,burgers_2d_generated,0,0.2555,31
mf_fno_ptr,era5,0,0.0765,27
mf_fno_ptr,burgers_2d_generated,0,0.264,21
mf_fno_diffprior,era5,0,0.2052,17
mf_fno_diffprior,burgers_2d_generated,0,0.9296,6
mf_fno_foundation,era5,0,0.0879,27
mf_fno_foundation,burgers_2d_generated,0,0.707,21
mf_fno_lora,era5,0,0.1141,27
mf_fno_lora,burgers_2d_generated,0,0.308,23
mf_fno_transfer_film,era5,0,0.0765,25
mf_fno_transfer_film,burgers_2d_generated,0,0.264,21
mf_fno_transfer_bar,era5,0,0.0883,25
mf_fno_transfer_bar,burgers_2d_generated,0,0.1973,19
