model,geomean_all,geomean_smooth,geomean_hard,n_datasets
mf_fno_transfer_film,0.00815,0.00176,0.17545,15
mf_fno_transfer,0.01231,0.00289,0.22262,15
mf_fno_transfer_2m,0.01246,0.00303,0.21078,15
fno_coreg_residual,0.01788,0.00458,0.20766,14
fno_mf_stack,0.02487,0.00551,0.50614,15
fno_coreg_conditioned,0.03199,0.01230,0.77348,13
fno_autoregressive,0.03448,0.00736,0.75739,15
fno_additive,0.03465,0.00747,0.74640,15
fno_coregionalization,0.05569,0.02210,0.29407,14
fno_coreg_lf_hf_transfer,0.05752,0.02599,0.28182,15
transolver_attention_fusion,0.08210,0.02802,0.56841,14
transolver_residual,0.08254,0.01821,1.25364,14
v9_baseline,0.11884,0.03420,1.11862,14
fno_multilevel,0.13892,0.07480,0.47922,15
mf_deeponet,0.20140,0.10496,0.74161,15
mfrnp,0.24907,0.20127,0.38141,15
d_mfd,0.40867,0.34598,0.57019,15
