model,n_params,mean_latency_ms_per_sample,mean_peak_mem_mb,mean_train_seconds,n_datasets_done
fno_mf_stack,2353797,6.3396,241.6879,3467.8344,14
fno_coregionalization,1190708,44.4817,370.0028,3529.5038,15
fno_coreg_residual,2365145,72.2779,245.7509,2060.9003,14
fno_coreg_conditioned,4757121,46.9902,321.1128,5169.2938,15
fno_coreg_lf_hf_transfer,1190708,49.7665,183.571,2928.128,15
transolver_residual,696641,12.5267,107.1197,1762.0238,14
transolver_attention_fusion,2278081,9.0357,100.7076,3403.9431,14
v9_baseline,426280,211.1381,133.0702,2612.6361,12
mfrnp,2599040,0.1371,267.2264,698.4651,15
mf_deeponet,544513,0.066,102.6044,341.455,15
d_mfd,2520960,0.0405,262.1453,2095.2952,15
mf_fno_transfer,4740353,1.292,327.2799,3267.6,15
mf_fno_transfer_2m,2666689,0.7215,236.4083,2347.1385,15
mf_fno_transfer_film,4773953,0.8694,368.731,2157.6118,15
fno_additive,9480706,1.6427,383.5351,3243.9775,15
fno_autoregressive,9480707,2.521,447.2844,3244.7979,15
fno_multilevel,18961604,1.8205,355.9502,2819.2757,15
fno_fire_distcond,28442438,5.0868,681.5951,5065.388,15
fno_dino_residual,9538178,2.6553,854.8391,1322.3003,15
fno_fire_mcdropout,9481026,14.9624,433.9818,1407.5574,15
fno_fire_snapshot,28442438,4.8488,596.8233,1359.4233,15
fno_fire_swag,9481026,7.9541,585.2056,1400.2547,15
fno_fire_batchens,9497926,4.0651,440.9474,1548.8416,15
fno_fire_quantile,9481156,1.945,440.8138,1401.0962,15
fno_fire_iqn,9481090,2.3169,440.6931,1401.0208,15
fno_fire_mdn,9481546,1.8747,415.3485,2550.2719,15
fno_fire_laplace,9481026,1.6088,454.7909,1588.8795,13
fno_fire_dkl,9481026,1.8988,443.3422,1292.099,13
fno_fire_cqr,28442438,6.5291,549.9018,2700.7989,15
mf_fno_pinn_transfer,4773953,2.4092,407.6594,2382.6092,12
