rank,model,elo_mean,elo_std,wins,losses,ties
1,mf_fno_transfer_film,1819.7,36.7,353,66,2
2,mf_fno_pinn_transfer,1799.0,35.8,276,59,2
3,fno_fire_distcond,1671.0,40.6,295,126,0
4,fno_fire_snapshot,1642.7,40.7,283,138,0
5,fno_fire_batchens,1633.0,42.0,277,144,0
6,fno_fire_mdn,1626.4,41.4,275,146,0
7,fno_fire_iqn,1619.0,43.9,271,150,0
8,mf_fno_transfer,1616.1,40.6,269,152,0
9,fno_fire_quantile,1603.2,44.2,263,158,0
10,mf_fno_transfer_2m,1595.3,41.8,258,163,0
11,fno_fire_laplace,1584.5,44.2,220,147,0
12,fno_fire_swag,1566.7,40.7,244,177,0
13,fno_coreg_conditioned,1558.6,42.9,239,182,0
14,fno_fire_cqr,1546.8,41.8,234,187,0
15,fno_fire_dkl,1524.2,41.9,192,175,0
16,fno_dino_residual,1502.1,42.2,211,210,0
17,fno_mf_stack,1485.4,42.3,192,205,0
18,fno_additive,1452.4,41.1,185,236,0
19,fno_coreg_lf_hf_transfer,1450.5,44.5,182,239,0
20,fno_coregionalization,1450.5,43.9,184,237,0
21,fno_coreg_residual,1450.2,41.2,173,224,0
22,fno_autoregressive,1449.5,40.1,183,238,0
23,transolver_residual,1391.6,43.5,147,250,0
24,fno_fire_mcdropout,1367.9,38.8,143,278,0
25,fno_multilevel,1337.9,45.5,129,292,0
26,transolver_attention_fusion,1336.9,43.1,122,275,0
27,mfrnp,1286.5,40.0,107,314,0
28,d_mfd,1259.9,41.1,95,326,0
29,mf_deeponet,1196.9,38.1,73,348,0
30,v9_baseline,1175.9,34.4,54,287,0
