model,dataset,rel_l2_mean,ci95_lo,ci95_hi,n_samples,nRMSE_aggregate,work_grid
fno_mf_stack,ifc_heat,0.04912568676807669,0.04788663449251305,0.05042000818668001,128,0.05055993675904347,"[64, 64]"
fno_mf_stack,ifc_poisson,0.3970922911657847,0.37506210667456696,0.4197586419164991,128,0.33789267313597576,"[64, 64]"
fno_mf_stack,poisson_local,0.004257559357498274,0.004082632646532829,0.004444788118872679,512,0.0037792133861614887,"[128, 128]"
fno_mf_stack,heat_local,0.0003480999752215973,0.00034135662953558996,0.0003553896166694103,512,0.00036419993012782914,"[128, 128]"
fno_mf_stack,fluid,0.019700517220590758,0.01881373983212521,0.02067490516141745,256,0.022474441863719233,"[64, 64]"
fno_mf_stack,era5,0.2921765867121534,0.24662128832129035,0.3363750778820247,7,0.2982973339013825,"[128, 256]"
fno_mf_stack,pm_test,0.2601121599941205,0.2196747924214693,0.29971541965063725,7,0.26561226925551257,"[128, 256]"
fno_mf_stack,advection_diffusion_generated,0.0008781969975529994,0.0008050410353347911,0.0009641569935995562,100,0.0009674895316895294,"[64, 64]"
fno_mf_stack,allen_cahn_generated,0.0018954023735768455,0.0017001605977849214,0.002109170635359493,100,0.0021657947643492392,"[1, 256]"
fno_mf_stack,burgers_generated,0.5860525896698283,0.49525365642088726,0.6887442258599561,100,0.49924239038886215,"[1, 256]"
fno_mf_stack,burgers_param_generated,1.878165042964115,1.5611651301360296,2.292341621021912,80,1.537796362903455,"[1, 256]"
fno_mf_stack,darcy_generated,0.05787389713565272,0.04857059879483587,0.06764341323569113,40,0.06357264019564186,"[128, 128]"
fno_mf_stack,heat_generated,0.0005752703639546542,0.0005398452663509045,0.0006132574788760703,100,0.0006103644002565436,"[64, 64]"
fno_mf_stack,lid_driven_cavity_generated,,,,,,
fno_mf_stack,poisson_generated,0.001051682596257509,0.0009595923071802178,0.0011542638663495776,100,0.0009838025177356519,"[64, 64]"
fno_coregionalization,ifc_heat,0.011103057895122581,0.0108651336421281,0.011376149379482125,128,0.011292482256251152,"[64, 64]"
fno_coregionalization,ifc_poisson,0.8158225259924017,0.8053865070161202,0.8261823805868805,128,0.7882977013169128,"[64, 64]"
fno_coregionalization,poisson_local,0.598236563856109,0.5820654401994493,0.6143683879059455,512,0.5331501466257175,"[128, 128]"
fno_coregionalization,heat_local,0.0035650899962193965,0.003518061328879052,0.0036152305426008667,512,0.0036171019924303824,"[128, 128]"
fno_coregionalization,fluid,0.01769799741444862,0.016887927124350614,0.01859451346173359,256,0.020091547807187162,"[64, 64]"
fno_coregionalization,era5,0.05376050588573711,0.05100225589850888,0.056603557258313474,7,0.05388916259216734,"[128, 256]"
fno_coregionalization,pm_test,0.05376050588573711,0.05100225589850888,0.056603557258313474,7,0.05388916259216734,"[128, 256]"
fno_coregionalization,advection_diffusion_generated,0.007215939017513778,0.00698226467650524,0.007469629510331169,100,0.007321326623232832,"[64, 64]"
fno_coregionalization,allen_cahn_generated,0.006613249466870866,0.0057197546084911755,0.007657196814427802,100,0.008280265048191833,"[1, 256]"
fno_coregionalization,burgers_generated,0.6234157358716604,0.5425743622749094,0.7118721551585161,100,0.5543944770178929,"[1, 256]"
fno_coregionalization,burgers_param_generated,1.4961939056775297,1.3541715521688533,1.6580836619892259,80,1.332513995352646,"[1, 256]"
fno_coregionalization,darcy_generated,0.0868616564494279,0.07668898173640108,0.09936458516725209,40,0.08754313862712478,"[128, 128]"
fno_coregionalization,heat_generated,0.002549855930606562,0.002446923678894767,0.00265492842337116,100,0.002616388066065795,"[64, 64]"
fno_coregionalization,lid_driven_cavity_generated,0.0025423589397822145,0.0023884660864776563,0.0027064521039361833,10,0.0025815562232477823,"[256, 256]"
fno_coregionalization,poisson_generated,0.28362251175476194,0.2644929398397671,0.30313102748669235,100,0.25987667461526726,"[64, 64]"
fno_coreg_residual,ifc_heat,0.02882718260871581,0.02585507230428391,0.03216298439680161,128,0.03582993924367149,"[64, 64]"
fno_coreg_residual,ifc_poisson,0.05762700977741528,0.05273375553144646,0.06269798477436636,128,0.05457294914286589,"[64, 64]"
fno_coreg_residual,poisson_local,0.004282529292831001,0.0038378206667240124,0.004778056787676095,512,0.004171932091978937,"[128, 128]"
fno_coreg_residual,heat_local,0.00023477205577314512,0.0002300143555394317,0.00024011469915373476,512,0.0002448802179150914,"[128, 128]"
fno_coreg_residual,fluid,0.021438031420691506,0.020523063409836884,0.022476858690871487,256,0.023732326674448204,"[64, 64]"
fno_coreg_residual,era5,0.09044292955694531,0.08697977885140694,0.09436653166241792,7,0.09055263748242352,"[128, 256]"
fno_coreg_residual,pm_test,0.09026819975257365,0.0867552403855582,0.09421186452852391,7,0.0903807757896437,"[128, 256]"
fno_coreg_residual,advection_diffusion_generated,0.004016837477605243,0.0037965833566102093,0.00426680321256524,100,0.004196813628978401,"[64, 64]"
fno_coreg_residual,allen_cahn_generated,0.005242017769989698,0.004895742947187095,0.005671953711899637,100,0.005592499559112673,"[1, 256]"
fno_coreg_residual,burgers_generated,0.5426013385655842,0.4637783327847462,0.6329564933311426,100,0.47334748281769484,"[1, 256]"
fno_coreg_residual,burgers_param_generated,1.51268578196385,1.3721197435272536,1.6848595558487522,80,1.2945495756999317,"[1, 256]"
fno_coreg_residual,darcy_generated,0.1436706986757502,0.12592394248290817,0.16399830356327125,40,0.15559474635896156,"[128, 128]"
fno_coreg_residual,heat_generated,0.0003836979205209641,0.0003572507785832043,0.0004143665683755345,100,0.0004085057931015875,"[64, 64]"
fno_coreg_residual,lid_driven_cavity_generated,,,,,,
fno_coreg_residual,poisson_generated,0.0012301915295496616,0.0010839791281330971,0.0014023427355526587,100,0.0011788176015544297,"[64, 64]"
fno_coreg_conditioned,ifc_heat,0.00562656759794366,0.005362213410482514,0.00591169587832455,128,0.00588018971222732,"[64, 64]"
fno_coreg_conditioned,ifc_poisson,0.7755485872736096,0.7580260740470882,0.7918335565303385,128,0.7532561163269389,"[64, 64]"
fno_coreg_conditioned,poisson_local,0.790053274573038,0.7796013825525334,0.800902730587447,512,0.7457274104009504,"[128, 128]"
fno_coreg_conditioned,heat_local,0.0007019907809844457,0.0006805288698598285,0.0007261423514900166,512,0.0007692433494258291,"[128, 128]"
fno_coreg_conditioned,fluid,0.016073844171573804,0.015224189256752787,0.01699403350868445,256,0.018789849251739255,"[64, 64]"
fno_coreg_conditioned,era5,0.045498871101490534,0.042670804102228864,0.04822806107223029,7,0.04563906517005154,"[128, 256]"
fno_coreg_conditioned,pm_test,0.045498871101490534,0.042670804102228864,0.04822806107223029,7,0.04563906517005154,"[128, 256]"
fno_coreg_conditioned,advection_diffusion_generated,0.0013860155393906276,0.0013016976664655278,0.0014782861893762453,100,0.0014578066545440794,"[64, 64]"
