regime,n_datasets,model,geomean_relL2,rank
smooth,10,mf_fno_transfer,2.5403e-03,1
smooth,10,mf_fno_transfer_2m,2.7116e-03,2
smooth,10,fno_mf_stack,4.3757e-03,3
smooth,10,fno_coreg_residual,5.3161e-03,4
smooth,10,fno_autoregressive,6.5485e-03,5
smooth,10,fno_additive,6.6128e-03,6
smooth,10,fno_coreg_conditioned,1.1188e-02,7
smooth,10,fno_coregionalization,1.9131e-02,8
smooth,10,transolver_residual,2.6849e-02,9
smooth,10,transolver_attention_fusion,3.9996e-02,10
smooth,10,v9_baseline,5.3561e-02,11
smooth,10,fno_multilevel,6.6822e-02,12
smooth,10,mf_deeponet,1.0349e-01,13
smooth,10,mfrnp,1.9531e-01,14
smooth,10,d_mfd,3.4124e-01,15
hard,5,fno_coreg_residual,2.0766e-01,1
hard,5,mf_fno_transfer_2m,2.1078e-01,2
hard,5,mf_fno_transfer,2.2262e-01,3
hard,5,fno_coregionalization,2.9407e-01,4
hard,5,mfrnp,3.8141e-01,5
hard,5,fno_mf_stack,5.0614e-01,6
hard,5,transolver_attention_fusion,5.6841e-01,7
hard,5,d_mfd,5.7019e-01,8
hard,5,fno_multilevel,6.9204e-01,9
hard,5,mf_deeponet,7.4161e-01,10
hard,5,fno_additive,7.4640e-01,11
hard,5,fno_autoregressive,7.5739e-01,12
hard,5,fno_coreg_conditioned,7.7348e-01,13
hard,5,v9_baseline,1.1186e+00,14
hard,5,transolver_residual,1.2536e+00,15
