dataset,n_hf,n_lf,mismatch_ratio,transfer_relL2,best_outputspace_relL2,transfer_advantage(x)
ifc_heat,5,100,20.000,9.7638e-03,2.1379e-02,2.190
ifc_poisson,5,100,20.000,6.6974e-02,5.7627e-02,0.860
poisson_local,64,64,1.000,3.7294e-03,4.2576e-03,1.142
heat_local,1024,1024,1.000,1.9072e-04,1.0357e-04,0.543
fluid,256,256,1.000,1.5130e-02,1.6343e-02,1.080
era5,65,1222,18.800,1.0488e-01,9.0443e-02,0.862
pm_test,65,1222,18.800,1.0488e-01,9.0268e-02,0.861
advection_diffusion_generated,400,400,1.000,8.6715e-04,8.7820e-04,1.013
allen_cahn_generated,400,400,1.000,7.3937e-04,1.8954e-03,2.564
burgers_generated,400,400,1.000,5.4942e-01,5.4260e-01,0.988
burgers_param_generated,320,320,1.000,1.3511e+00,1.3465e+00,0.997
darcy_generated,160,160,1.000,9.6030e-02,5.7874e-02,0.603
heat_generated,400,400,1.000,2.0017e-04,1.2795e-04,0.639
lid_driven_cavity_generated,40,40,1.000,1.1459e-02,8.4693e-03,0.739
poisson_generated,400,400,1.000,7.5431e-04,1.0517e-03,1.394
