bibtex_key,title,authors,year,venue,url_or_doi,license,datasets_provided,n_datasets
ghia1982highre,High-Re Solutions for Incompressible Flow Using the Navier-Stokes Equations and a Multigrid Method,"U. Ghia, K. N. Ghia, C. T. Shin",1982,"Journal of Computational Physics 48(3), 387-411",10.1016/0021-9991(82)90058-4,Elsevier (publisher),lid_driven_cavity_generated,1
perdikaris2017nonlinear,Nonlinear information fusion algorithms for data-efficient multi-fidelity modelling,"Paris Perdikaris, Maziar Raissi, Andreas Damianou, Neil D. Lawrence, George Em Karniadakis",2017,Proceedings of the Royal Society A,10.1098/rspa.2016.0751,unknown,,0
tripathy2018deepuq,Deep UQ: Learning deep neural network surrogate models for high dimensional uncertainty quantification,"Rohit K. Tripathy, Ilias Bilionis",2018,Journal of Computational Physics 375,1802.00850,Elsevier (publisher),darcy_generated,1
era5_reanalysis,ERA5 Atmospheric Reanalysis,"Hans Hersbach, Bill Bell, Paul Berrisford, et al.",2020,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.3803,Copernicus license,era5; pm_test,2
li2020fno,Fourier Neural Operator for Parametric Partial Differential Equations,"Zongyi Li, Nikola Kovachki, Kamyar Azizzadenesheli, Burigede Liu, Kaushik Bhattacharya, Andrew Stuart, Anima Anandkumar",2020,ICLR 2021,2010.08895,MIT,burgers_generated; burgers_param_generated,2
li2022ifc,Infinite-Fidelity Coregionalization for Physical Simulation,"Shibo Li, Zheng Wang, Robert M. Kirby, Shandian Zhe",2022,NeurIPS,2207.00678,MIT,ifc_heat; ifc_poisson; poisson_generated; heat_generated; ifc_burgers; ifc_topopt; ifc_navierstockp,7
arxiv_2305_16530,unknown,,2023,arXiv,2305.16530,unknown,,0
arxiv_2310_09656,unknown,,2023,arXiv,2310.09656,unknown,,0
jiang2023subsurface,Multi-fidelity well-control optimization using geological model resolution as a fidelity parameter,"Yifan Jiang, Louis J. Durlofsky",2023,unknown,unknown,unknown,subsurface_jiang_durlofsky,1
lyu2023fno,Multi-Fidelity Prediction of Fluid Flow Based on Transfer Learning Using Fourier Neural Operator,unknown,2023,arXiv,2304.06972,unknown,,0
penwarden2022mfpinns,A Metalearning Approach for Physics-Informed Neural Networks (PINNs): Application to Parameterized PDEs,"Michael Penwarden, Shandian Zhe, Akil Narayan, Robert M. Kirby",2023,Journal of Computational Physics,2110.13361,unknown,allen_cahn_generated,1
yang2023microfluidic,Multi-fidelity coarse-graining for microfluidic surrogate modeling,Yang,2023,unknown,unknown,unknown,microfluidic_yang,1
arxiv_2403_08627,unknown,,2024,arXiv,2403.08627,unknown,,0
arxiv_2407_15110,unknown,,2024,arXiv,2407.15110,unknown,,0
carbench2024,CFD car-aerodynamics benchmark,unknown,2024,unknown,unknown,unknown,,0
gladstone2024mfgunet,A Multi-Fidelity Graph U-Net Model for Accelerated Physics Simulations,"Rini Jasmine Gladstone, Hadi Meidani",2024,arXiv,2412.15372,arXiv nonexclusive-distrib,mf_gunet_gladstone_fem,1
khronos2024,Khronos multi-physics surrogate,unknown,2024,unknown,unknown,unknown,,0
marrel2024reliablegp,Reliable Gaussian process surrogate review,"Amandine Marrel, Bertrand Iooss",2024,HAL preprint (CEA),unknown,unknown,,0
niu2024mfrnp,Multi-Fidelity Residual Neural Processes for Scalable Surrogate Modeling,"Ruijia Niu, Dongxia Wu, Kai Kim, Yi-An Ma, Duncan Watson-Parris, Rose Yu",2024,ICML,2402.18846,MIT,poisson_local; heat_local; fluid,3
ravi2024mfgp,Multi-fidelity Gaussian process surrogate modeling for regression problems in physics,"Kislaya Ravi, Vladyslav Fediukov, Felix Dietrich, Tobias Neckel, Fabian Buse, Michael Bergmann, Hans-Joachim Bungartz",2024,"arXiv (also Machine Learning: Science and Technology, IOP 2024)",2404.11965,arXiv nonexclusive-distrib,mfgp_ravi_physics,1
taghizadeh2024mfgnn,Multifidelity graph neural networks for efficient and accurate mesh-based partial differential equations surrogate modeling,"Mehdi Taghizadeh, Mohammad Amin Nabian",2024,Computer-Aided Civil and Infrastructure Engineering 40(7):841-858,10.1111/mice.13312,Wiley (publisher),mfgnn_taghizadeh_mesh,1
transolver2024,Transolver: A Fast Transformer Solver for PDEs on General Geometries,"Haixu Wu, Huakun Luo, Haowen Wang, Jianmin Wang, Mingsheng Long",2024,ICML,2402.02366,unknown,,0
brunel2025survey,Multi-fidelity field surrogate modeling survey,unknown,2025,unknown,unknown,unknown,,0
hai2025camel,Analytical benchmarks for multi-fidelity surrogates (Camel/Colville),"Hai, Mei",2025,unknown,unknown,unknown,camel_colville,1
nietocentenero2025mfae,Multi-fidelity aerodynamic data fusion by autoencoder transfer learning,"Javier Nieto-Centenero, Esther Andrés, Rodrigo Castellanos",2025,arXiv,2512.13069,CC BY-NC-ND 4.0,naca_pressure_mf_2d; transonic_wing_mf_3d,2
yang2025mfdeeponet,Data-Efficient Deep Operator Network for Unsteady Flow: A Multi-Fidelity Approach with Physics-Guided Subsampling,"Sunwoong Yang, Youngkyu Lee, Namwoo Kang",2025,"arXiv (also Computer Methods in Applied Mechanics and Engineering, 2025)",2503.17941,arXiv nonexclusive-distrib,mfdeeponet_yang_unsteady_flow,1
chatgpt_survey_2026,Multi-Fidelity Field Surrogate Modeling (2021-2026),unknown,2026,internal survey synthesis,unknown,unknown,,0
imanov2026mfbpinn,Multi-Fidelity Physics-Informed Neural Networks with Bayesian Uncertainty Quantification and Adaptive Residual Learning for Efficient Solution of Parametric Partial Differential Equations,Olaf Yunus Laitinen Imanov,2026,arXiv,2602.01176,CC BY 4.0,,0
