epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean
1,0.44020100682367136,0.40232644261677025,0.42663291543236775,0.02000281282528801,0.1379799898532988,0.14373053791164195,0.991,2.99,0.0029850000000000002,1.0982570485105732,1.0382978916168213,0.3235018013548773,0.33794162431317226,0.33855657429959174
2,0.01409160854936002,0.10838291938057681,0.11407022176555133,0.004734288383438026,0.06680517441150054,0.07042048549623166,0.982,2.98,0.00297,1.0985329698662027,1.0560526847839355,0.3276688734819783,0.3363552036231038,0.3359759201444321
3,0.005741775260851936,0.07045330464370735,0.07406175219080735,0.020263805587604208,0.13828453399891993,0.14313289204847465,0.973,2.97,0.002955,1.0985967812657227,1.0682669878005981,0.33093737261561956,0.3348075635205392,0.3342550648993183
4,0.005787290398882911,0.06651942661673187,0.06958217350978417,0.006698879123963777,0.07484352494617111,0.07438279569004345,0.964,2.96,0.00294,1.0986068687532158,1.0784759521484375,0.33258115520435877,0.33388049057588776,0.33353835386380826
5,0.0029618170635165985,0.049797246724075914,0.052187170627062796,0.0037264970913348555,0.059093700269761594,0.06229470999350826,0.955,2.95,0.002925,1.0986045841026513,1.0870686769485474,0.3330207472256548,0.33363669385868616,0.3333425616337862
6,0.002429841949334459,0.045468962970761084,0.04770692444358923,0.0030605563276799993,0.05301948385403573,0.0545119706505132,0.946,2.94,0.0029100000000000003,1.0986001872084428,1.0945128202438354,0.3334125355128745,0.3334096098049715,0.33317785688254264
7,0.001932897241472648,0.04116999996213261,0.04351833910478055,0.002587150297471259,0.04849750389462536,0.05008987521806967,0.9369999999999999,2.93,0.002895,1.0985961532489226,1.100408673286438,0.33360634713426607,0.33334322828682184,0.3330504231551312
8,0.001628052934523405,0.03721121077938461,0.03904484406145983,0.002952006997007117,0.052179911399929266,0.05339261498844739,0.9279999999999999,2.92,0.00288,1.0985893502944715,1.1057716608047485,0.33380171197115666,0.33322765792231607,0.3329706327922958
9,0.0020525968284978166,0.04141411853470839,0.043607982698662145,0.004209932763224414,0.06259077420295442,0.07090306175348249,0.919,2.91,0.002865,1.0985833735212311,1.1112736463546753,0.3339210778442449,0.33317483972907713,0.332904081391201
10,0.002343020212040743,0.04388129245590956,0.04611968272542591,0.000480843999663829,0.021329273623459547,0.023086374969158358,0.91,2.9,0.00285,1.0985762464624793,1.1165574789047241,0.33406086756274445,0.3331144982776994,0.3328246322180368
