epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean,alpha_lf3_mean,alpha_lf4_mean
1,0.5238873216431754,0.41364459693431854,0.4338128285221634,0.011849672147027642,0.10308947717969857,0.10547781721191499,0.991,2.99,0.0029850000000000002,1.5981042302263158,1.0431348085403442,0.2525564941469414,0.19225447285964875,0.18931733170497947,0.18289067423887284,0.18298102371661593
2,0.014879308545903327,0.11327650105979103,0.11964429994230032,0.026742252910021438,0.16220268448000974,0.17535277890059556,0.982,2.98,0.00297,1.596346008402258,1.0688717365264893,0.26289249074834437,0.19741466000724692,0.18883704754092148,0.17555462679826733,0.17530117543913773
3,0.007558749864928538,0.08107317851433667,0.08515935892342356,0.01282414797132889,0.10764377567808604,0.10960115069179859,0.973,2.97,0.002955,1.5892386445522826,1.0820754766464233,0.277886314643193,0.2009028563605587,0.1847409675874617,0.1698491843204933,0.1666206783664602
4,0.004753940726350285,0.06292980089864565,0.06619352460651781,0.001752003777017184,0.03972130751653204,0.04244047052507262,0.964,2.96,0.00294,1.5825989966024923,1.091183066368103,0.2907550567912745,0.19919629728302246,0.18211353572649755,0.16978849459289858,0.15814661605932814
5,0.004988194797208268,0.0657003780990742,0.0690806776438875,0.003537615442431523,0.055662395920857644,0.057150900436257854,0.955,2.95,0.002925,1.579313157824041,1.1001014709472656,0.29340401871067173,0.19918568165372172,0.1821643094027599,0.16792989189733512,0.15731609943570582
6,0.0053839555440468555,0.06736986283273573,0.07085897235541598,0.009660262456254183,0.09804846606786968,0.10591435211810094,0.946,2.94,0.0029100000000000003,1.594906378258323,1.1098552942276,0.26296806633148856,0.19816595147668215,0.18955776024201276,0.1782742979957537,0.17103392498953982
7,0.004047067833651791,0.0578732856677746,0.06045539775028032,0.007309364725709034,0.08044354339103096,0.08097830874103944,0.9369999999999999,2.93,0.002895,1.5815994887087943,1.116204857826233,0.2933333856533974,0.19364674297140164,0.18283866465609444,0.16796382106476576,0.16221738693250765
8,0.0040743957553261104,0.05788232749944854,0.0608400238311802,0.0019712128757851796,0.04369758167168469,0.04642312700670321,0.9279999999999999,2.92,0.00288,1.5764290838624704,1.1229357719421387,0.30181254173075855,0.1926946556205729,0.17942806308225492,0.16803674233205673,0.15802799742850884
9,0.002749955653992606,0.048287500642507,0.05039668283814586,0.002365337013949649,0.04518912318479089,0.045385095245629836,0.919,2.91,0.002865,1.5764865397630374,1.1302763223648071,0.3003593055484867,0.19488007758908887,0.1804718952646214,0.16633074304309395,0.15795797905626824
10,0.003313813444245182,0.05203094127528313,0.054166423903129,0.0014467131401846203,0.0373565507962287,0.0394181383647097,0.91,2.9,0.00285,1.5702085296960142,1.1353822946548462,0.306746748772558,0.1993578552358443,0.1829577687961918,0.16191015048731164,0.1490274735045873
11,0.001567550665048233,0.03633130564638509,0.03818542842756265,0.0009217937016357821,0.029637816877475062,0.031064540220117107,0.901,2.89,0.002835,1.5643140011579284,1.1396534442901611,0.3141069710578256,0.19914219747666556,0.18209560136194466,0.16131038052898536,0.14334485052915918
12,0.001884571544701652,0.04016486433992945,0.04223729635666688,0.0075931901437709635,0.0860445296880111,0.09086044085691276,0.892,2.88,0.00282,1.5640122454277725,1.1452720165252686,0.31324346996156194,0.20058404072617605,0.18266239194411796,0.16008637478245458,0.1434237215016745
13,0.002463850702627296,0.04528657808074734,0.04758765433189923,0.0019105536709494383,0.0433047479832346,0.04582084603245976,0.883,2.87,0.002805,1.5645028405805623,1.1511348485946655,0.3097755564022789,0.2033957803903004,0.18497545539879773,0.15925504275305394,0.14259816516882434
14,0.0015826152648218583,0.03670951717176215,0.03818243932096241,0.0008751780780267369,0.028357162040848177,0.03086560443767066,0.874,2.86,0.00279,1.561268098579556,1.156944751739502,0.3140178424074647,0.2033289803938291,0.18417761058230095,0.15815254888951324,0.14032301662669766
15,0.0013632438500511919,0.03437182912754702,0.03605938430806778,0.0016626925442200515,0.03779335361588927,0.03804139726008605,0.865,2.85,0.002775,1.5591270871840652,1.1616936922073364,0.31508319463326023,0.20415669983813092,0.18424838690752574,0.1577409677183201,0.13877075252069582
16,0.001660546153277183,0.03676985008854431,0.03825233924838671,0.0016752824970539116,0.0403075810268666,0.0441321398773529,0.856,2.84,0.00276,1.5563367514605113,1.1658477783203125,0.317506181883113,0.20275298000417497,0.185065591374127,0.15857278734413213,0.13610246033285392
17,0.001333108159875746,0.03287346152453223,0.03426308210344579,0.00046227766495894243,0.0211882679497154,0.022561500255850332,0.847,2.83,0.002745,1.5518309661024428,1.1701791286468506,0.32005280078298753,0.20587247328571853,0.18578569392039643,0.157921822529274,0.1303672098375687
18,0.001388606191857998,0.03438185911168558,0.03596389747096325,0.0013842033095165039,0.036189209362401546,0.040367213719822825,0.838,2.82,0.0027300000000000002,1.5559993768747933,1.1762473583221436,0.31020013963749044,0.211394977378664,0.19042788706436736,0.15834905972439356,0.1296279362921606
19,0.001068274481055184,0.029714667766145657,0.031087660780793357,0.0012034963029753235,0.034240144277805265,0.03681956397966274,0.829,2.81,0.002715,1.5535606820213161,1.1806161403656006,0.31154267692151727,0.21293162429112694,0.1883754590111628,0.15658164639167496,0.13056859247847566
20,0.001271922096630799,0.0320560642731468,0.033567455088584226,0.00045572482549598967,0.02068374458772754,0.02134416688197446,0.82,2.8,0.0027,1.5529534674363856,1.184012770652771,0.31199975831112564,0.21221929992449012,0.19043877285608898,0.15540903162749142,0.12993313909288856
21,0.0010878551582566662,0.029925829855306528,0.03133834268994848,0.000595708448299686,0.02355072619303048,0.02663597126391906,0.8109999999999999,2.79,0.002685,1.5504744490375995,1.1893559694290161,0.31371742072762937,0.2136798337279909,0.19029074075685393,0.15377836990757693,0.12853363428131376
22,0.000654036969033168,0.023547835013021216,0.024723792789416967,0.0007328410586003142,0.026446577034962986,0.028559130083010035,0.802,2.78,0.00267,1.5464066103925922,1.192062258720398,0.3195808328906566,0.21218950999546776,0.19120074378227436,0.14965292609152137,0.12737598653627918
23,0.000812782058003131,0.026291200363286544,0.027488978779859573,0.0010592147457307132,0.03092651794330009,0.03404852835624253,0.7929999999999999,2.77,0.0026550000000000002,1.5447212404588664,1.1958091259002686,0.31899090957434506,0.21513680277248676,0.19040021533298182,0.14840999244025682,0.12706208028441274
24,0.0009641186855596881,0.028307223069632223,0.029375272678629973,0.0011317352586294733,0.03184168355412854,0.03298768887603746,0.784,2.76,0.00264,1.5492547388056073,1.2005078792572021,0.314130690146994,0.21539991001935269,0.18726256352229434,0.1516555435753283,0.1315512927360307
25,0.0011242436948252577,0.030420932136112005,0.031839009916387606,0.0007182499710289598,0.02550534379569072,0.026548932858028458,0.775,2.75,0.002625,1.546517708790807,1.203645944595337,0.3185425133451447,0.21403430918399466,0.18673561861279475,0.1512359619690722,0.12945159671102102
26,0.0006864238944518695,0.024243868736754475,0.025385109024136515,0.002004426866159458,0.04143508775069297,0.0415860112141637,0.766,2.74,0.00261,1.5447423702730807,1.2071106433868408,0.31685091424066003,0.21741638911016342,0.18884713656545074,0.1494774340644851,0.12740812423951461
27,0.0007231849788366559,0.02501384774981376,0.02632113676781116,0.0005287229808531159,0.022699843341647423,0.023895851689056287,0.757,2.73,0.002595,1.542757993930067,1.2098655700683594,0.31676313303710324,0.21899721858038057,0.18980887868764218,0.14983360995169442,0.12459715956520698
28,0.0010959004180533174,0.029169898917018783,0.030612827130026072,0.0021928892984027855,0.0462697329162394,0.04850683368525459,0.748,2.7199999999999998,0.00258,1.5412282330205465,1.2126659154891968,0.3201351465412641,0.21649008804889766,0.18879017719228416,0.14922127980297992,0.12536330742763516
29,0.0006760963588969704,0.024169913148274897,0.02526880692322531,0.00017510291553600872,0.012201696023959848,0.012280836077497422,0.739,2.71,0.002565,1.5403028808121573,1.2159080505371094,0.3219132486176672,0.21436637759726418,0.1897387867965346,0.14916113925031937,0.12482044836111876
