epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean
1,0.48726589639795526,0.5010464262140432,0.5219075864223394,0.08306699029160934,0.23793950134400024,0.2324522983969994,0.991,2.99,0.0029850000000000002,1.0983211085540077,1.0131407976150513,0.34221327291896625,0.32894363840809343,0.3288430892553961
2,0.04293102034884348,0.1813733687909496,0.1876056885971697,0.0375962154578092,0.1914366386758471,0.21187959596948716,0.982,2.98,0.00297,1.098524996563873,1.0214697122573853,0.3389192492125736,0.3305781975501782,0.33050255314017224
3,0.015766499032156215,0.11689346118645093,0.12343378648178067,0.019312956958141142,0.1315876933411487,0.1397692967676422,0.973,2.97,0.002955,1.0975592082020513,1.0410730838775635,0.35311348339892623,0.3234872230359967,0.3233992917529923
4,0.010578242385401983,0.09372381188873359,0.09780464360205281,0.005226645435577312,0.06721641622411395,0.0721217104893865,0.964,2.96,0.00294,1.0952308858774125,1.0779207944869995,0.3719401202295036,0.31408676217096765,0.31397311915274423
5,0.007884344497612647,0.08050266210794707,0.08366470214436549,0.004078810664969813,0.05884353982881435,0.061096928181868154,0.955,2.95,0.002925,1.0935032093304895,1.1124255657196045,0.3811227835868521,0.3095101569491023,0.3093670575548849
6,0.007268157294341116,0.07746663443687556,0.08038990547016958,0.0044145927136058655,0.06260973887825474,0.06648686647559833,0.946,2.94,0.0029100000000000003,1.0899130011485014,1.1382451057434082,0.3959225656931874,0.30210375028635084,0.3019736862532091
7,0.004712967498098519,0.06149543838799971,0.0635672689058558,0.0024785788495825982,0.046060961481292274,0.04803736251100753,0.9369999999999999,2.93,0.002895,1.0879202215213342,1.157139539718628,0.40284946318169756,0.29864526662194896,0.2985052686431379
8,0.004254811270471893,0.05794560038418904,0.059682695751243256,0.004371009872168375,0.06460912796912842,0.07287331079178065,0.9279999999999999,2.92,0.00288,1.0855046957245866,1.172865629196167,0.41056140936935376,0.2947800598237724,0.2946585347546299
9,0.004164909820570878,0.0587764475474399,0.06110355644269435,0.0019078667346813074,0.04108079564441176,0.0452436456294025,0.919,2.91,0.002865,1.08107214706599,1.1883602142333984,0.422881008229996,0.28864058797186026,0.28847840742231323
10,0.0034797575254494834,0.052059370882801076,0.05364378712399904,0.002805931141003243,0.04627236427323332,0.04721301978508246,0.91,2.9,0.00285,1.0791102370791275,1.1974457502365112,0.4276609732713813,0.2862457373178484,0.28609329067275785
11,0.00402294004732393,0.05675055093084433,0.059009975455418216,0.002586732712321128,0.04499698417641006,0.046450643013547926,0.901,2.89,0.002835,1.0784722453996491,1.2088603973388672,0.42901816145475474,0.285507728753209,0.2854741073327784
12,0.003299271522279946,0.051361971048397556,0.05314072529733763,0.0038687351941881537,0.06111851226068237,0.06946878988765975,0.892,2.88,0.00282,1.0755460096622265,1.226468563079834,0.43568904401813346,0.28212295526013703,0.2821880018542825
13,0.0022078334402149376,0.041751577564384725,0.04284857009637628,0.002574196635198427,0.04872827117955222,0.053603845169243304,0.883,2.87,0.002805,1.074306458784884,1.2352527379989624,0.43836604002114876,0.28070943971669116,0.28092451903253113
14,0.0034101076768438183,0.05035992318220299,0.0515779795349615,0.0037333871768018938,0.059377008958638296,0.06679248281763596,0.874,2.86,0.00279,1.0744198959373366,1.2453722953796387,0.43766236645002704,0.2810471700858345,0.28129046773548105
15,0.002410989217171961,0.04266823352952604,0.043811440775241704,0.0015268379353886488,0.036090662974177054,0.037452883729078235,0.865,2.85,0.002775,1.0704499351085204,1.2522176504135132,0.44585915079722577,0.2768661294710882,0.27727471995819664
16,0.0019741266738091483,0.03895828476525544,0.04011577356861546,0.004307572485752476,0.06481674899464672,0.07174606331922476,0.856,2.84,0.00276,1.0700016851404461,1.2597650289535522,0.4462652559130251,0.2766275321751283,0.2771072091613608
17,0.0028769098310483607,0.04694079121131851,0.04824965284585176,0.0010497865650816415,0.030900756566269883,0.033868772999464884,0.847,2.83,0.002745,1.068436587413411,1.2691221237182617,0.4488521018970543,0.27529144817791334,0.27585644840417545
18,0.0015274854164558436,0.03493266114226899,0.036115069156684526,0.00180787689649292,0.04109487597586461,0.044255167119277336,0.838,2.82,0.0027300000000000002,1.0663075483324214,1.274627685546875,0.45254576251509393,0.27335145668279337,0.27410277856936544
19,0.0017194487816193035,0.036723348078490856,0.03787893042914836,0.0012699678617651637,0.0337195261517196,0.036290317538727836,0.829,2.81,0.002715,1.0659745829372012,1.2810709476470947,0.4528496160569331,0.27312547453839925,0.27402491031071
