epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean,alpha_lf3_mean,alpha_lf4_mean
1,0.3347489445608809,0.4537965889603514,0.47606454532387205,0.11696503817745783,0.3303299837031411,0.3616372652134849,0.991,2.99,0.0029850000000000002,1.6023717783431923,1.02493155002594,0.2436850846590359,0.18960410544201814,0.18713203781202484,0.18993367091322824,0.18964510038090582
2,0.04962357146772642,0.19080650846875322,0.1976830703039511,0.01582383520638986,0.11974409114099244,0.1299717065706415,0.982,2.98,0.00297,1.60143140576432,1.0337778329849243,0.2509589373224074,0.18778023984481407,0.18517668177975377,0.18816357915745754,0.18792056242948504
3,0.01497864740598344,0.11345416518589573,0.11826673065930055,0.0384876454628787,0.17903768734156505,0.18304010712116667,0.973,2.97,0.002955,1.5863729048758972,1.0501718521118164,0.28936267060902165,0.17831576284704717,0.17510631114212102,0.17875459241750574,0.17846066555681755
4,0.019433987464444323,0.1232284557854961,0.12783581437492475,0.010937364166150394,0.10316314519319719,0.11356557236568442,0.964,2.96,0.00294,1.567627842082004,1.0711926221847534,0.3221380470500577,0.17025221696570433,0.16676475733809829,0.17064439816790736,0.17020057942657596
5,0.007842047734592558,0.08179992193054816,0.0855397932741075,0.002752378460887856,0.05084427760787381,0.05639435376212435,0.955,2.95,0.002925,1.5404450921877717,1.1046358346939087,0.3596136223739185,0.16088147424201882,0.15752975412934664,0.1611878296095437,0.16078731945102043
6,0.006148484713235116,0.07125561052567278,0.07380736304950636,0.003954597063887033,0.06189112549701941,0.07040725879877516,0.946,2.94,0.0029100000000000003,1.5166917735150531,1.1247552633285522,0.3868776966254434,0.15381369868396547,0.15107221767128357,0.15449313680266194,0.15374325110650866
7,0.005234861575662645,0.06489249290524296,0.06661415114254568,0.0030229265216141217,0.04531090836791159,0.045485988078476154,0.9369999999999999,2.93,0.002895,1.5034996132638374,1.138895034790039,0.40063519628635574,0.14964746383709446,0.14814647239401338,0.15136499701312517,0.15020587318753834
8,0.0057632469523588884,0.06812164523152393,0.07020118423251194,0.012845496240171414,0.11223594902209866,0.12319087302221836,0.9279999999999999,2.92,0.00288,1.492587436811673,1.1483620405197144,0.4114670950219634,0.146584392969176,0.14580314659010962,0.14878302922595726,0.14736233700176016
9,0.0055313595493772065,0.0665657618988091,0.06938952652496831,0.009920971669274772,0.09155168040718847,0.09412391143805772,0.919,2.91,0.002865,1.4833007904657454,1.158811092376709,0.4201734210976301,0.14399455550827497,0.14418917606371362,0.14675920784279267,0.14488364081429347
10,0.0036294365698121786,0.05380078213012309,0.055358897510361854,0.0023704090424659617,0.048294082537148765,0.0543787035620907,0.91,2.9,0.00285,1.4718947664275361,1.1666280031204224,0.4307776455899921,0.14121005984263882,0.1419855944011421,0.14404991767434938,0.141976781278428
11,0.0031290386083468098,0.050029249730379394,0.05131820426701723,0.0034202927129017642,0.05562670232312193,0.05932335913615319,0.901,2.89,0.002835,1.46694594123335,1.1752115488052368,0.43520741256906464,0.1403254291910302,0.14110850399596683,0.14273942824165933,0.14061922915724798
12,0.0030176217399029938,0.049523318467518146,0.051339221210193686,0.003269118008495408,0.04773788123382527,0.0469971126469883,0.892,2.88,0.00282,1.4648977863672115,1.1831493377685547,0.43693729788550334,0.1397467912634861,0.1407841578142133,0.1423559655778183,0.14017578881804252
13,0.002594702419406258,0.04630267105584036,0.04816508211041765,0.0017557579470748642,0.03841744278313466,0.04114629528982547,0.883,2.87,0.002805,1.4549899094785592,1.1922186613082886,0.4454210205135076,0.13771375515432493,0.1387064774539908,0.14007499865807357,0.13808374949827
14,0.002811685738170946,0.0473766621044482,0.04831485734619483,0.002216839121916847,0.04407524355479236,0.046478323095921176,0.874,2.86,0.00279,1.4556751313349323,1.197041630744934,0.44483779450063465,0.13781572792610308,0.13880662725233228,0.14009213399032816,0.13844771872514233
15,0.002582180500460281,0.04436630773460179,0.04530725122331343,0.002537038685579884,0.04590694986066772,0.04649956466503514,0.865,2.85,0.002775,1.4535224505019628,1.2022576332092285,0.4466466915012053,0.13730993258577734,0.13876140635383763,0.13942067498234015,0.13786129679340753
