epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean
1,3.2242382607961955,1.5855040728000172,1.785060073200025,1.0516475098473685,1.0146798661776952,1.2831124578203474,0.991,2.99,0.0029850000000000002,1.098596543596502,1.0003074407577515,0.3337606813823968,0.333089175977205,0.33315016146291765
2,1.0196994626731204,0.9324659506479899,0.9688629706700643,0.6349342997585025,0.7193418826375689,0.8190706712859017,0.982,2.98,0.00297,1.098322358047753,1.0008659362792969,0.3421031215734649,0.3286150955317313,0.3292817818491082
3,0.7557112349752795,0.7947363738428083,0.818752134055422,0.2977460154465267,0.5342162294047219,0.6670665911265782,0.973,2.97,0.002955,1.0977719352956403,0.9996532797813416,0.35250482067727207,0.3232968684874083,0.32419830037836445
4,0.2651784927175756,0.4893488570263511,0.548044209417544,0.14252238241689547,0.3617532231978008,0.44704960925238474,0.964,2.96,0.00294,1.0983303597098903,0.9984339475631714,0.34432184330204074,0.32806013289250824,0.32761802380545096
5,0.17182534331815286,0.3898949152544925,0.41598600149154663,0.08280939874904496,0.2665993422269821,0.31755861001355307,0.955,2.95,0.002925,1.0968478980817293,0.9985181093215942,0.360596826201991,0.32257979376274243,0.3168233779438755
6,0.1092184327150646,0.30746773486597495,0.33552412035172446,0.09235961575593267,0.2959472771201815,0.3905273356607982,0.946,2.94,0.0029100000000000003,1.0963176802585,1.0010530948638916,0.3649581858986302,0.3199972813589531,0.31504452855963455
7,0.09623199086963084,0.2982851266860962,0.33894040919186774,0.05228713221315827,0.20978428104094096,0.25657595906938824,0.9369999999999999,2.93,0.002895,1.0977081457773845,1.0026612281799316,0.35292162184129683,0.3257801177208884,0.3212982682805312
8,0.05437501255226763,0.2224134444667582,0.2490582939302712,0.06624188779720239,0.24074503566537583,0.2887039546455656,0.9279999999999999,2.92,0.00288,1.0979747709475065,1.0051530599594116,0.34975835105829073,0.3273758135343853,0.32286583331593294
9,0.08265410259104612,0.26795417070388794,0.29511989339401845,0.06396153755486012,0.2385146373084613,0.2857378678662436,0.919,2.91,0.002865,1.0978542001623857,1.0070199966430664,0.35108600216999386,0.3268177300168757,0.32209627827008563
10,0.05396303037802378,0.2240763706596274,0.2578916832020408,0.030025071065340723,0.16870848621640885,0.21656276072774613,0.91,2.9,0.00285,1.0981787798697489,1.0096933841705322,0.34622174919697274,0.32907395927529587,0.3247042951876657
11,0.06488402129003876,0.24412534268278824,0.2831730813833705,0.03361778227346284,0.18093984254768916,0.23700544238090515,0.901,2.89,0.002835,1.098060133164389,1.0126079320907593,0.3472847426146792,0.32853894536955314,0.3241763167213975
12,0.06074129597267561,0.2332316982118707,0.2655734367537917,0.022933871219200746,0.1470396210040365,0.18939489126205444,0.892,2.88,0.00282,1.0976675518772059,1.0155482292175293,0.3509236908795541,0.3268728052314959,0.3222035096402754
13,0.03811448877840711,0.185194859902064,0.21002332238774551,0.07798449136316776,0.25499092042446136,0.2953565163271768,0.883,2.87,0.002805,1.0970019917739064,1.0199164152145386,0.35608587714663725,0.3245125491368143,0.31940158417350367
14,0.04335977869075641,0.19828754454328304,0.22553195007014692,0.07941665181091853,0.2759692072868347,0.3421489213194166,0.874,2.86,0.00279,1.0963789747472394,1.0229631662368774,0.3620287979903974,0.32170694439034714,0.3162642701676017
15,0.059522749300588644,0.23258008507260106,0.2677135726338939,0.023064183071255684,0.14545349989618575,0.18590395152568817,0.865,2.85,0.002775,1.0961048289349204,1.0261834859848022,0.364073257697256,0.32075051989471703,0.31517623077359114
16,0.028514963215249673,0.16142856029042027,0.18313097195667133,0.017376725295824662,0.12557511776685715,0.16062734169619425,0.856,2.84,0.00276,1.0943514673333419,1.030704140663147,0.37454319889085336,0.31585041943349335,0.3096063921326085
17,0.023622127347870878,0.14944888363804734,0.17126745665282533,0.017362865220223154,0.12901045914207185,0.16789071368319647,0.847,2.83,0.002745,1.0948966553336696,1.0354372262954712,0.3719347788576494,0.31725240590279563,0.3108128162852505
18,0.020155471863976697,0.13484642275592737,0.1523223163788779,0.05299570358225277,0.2279206280197416,0.29018394010407583,0.838,2.82,0.0027300000000000002,1.0949011392760695,1.0397380590438843,0.37161599021208913,0.3170693767698188,0.3113146392922652
19,0.042075951240564645,0.19097374562631575,0.2185650609041515,0.015339727846107312,0.11595245876482554,0.14248035848140717,0.829,2.81,0.002715,1.0952965774034198,1.0423500537872314,0.36800427917848555,0.3188958826817964,0.31309984075395686
20,0.022368914202639933,0.13971473773320517,0.15222813319741635,0.03325803471463067,0.17925382724830083,0.23846566251346044,0.82,2.8,0.0027,1.092206871300413,1.0465216636657715,0.38404566049575806,0.3108426196533337,0.305111720373756
21,0.025883630898438002,0.1532510197476337,0.17922086856867137,0.03319344509925161,0.18153776015554154,0.234427667089871,0.8109999999999999,2.79,0.002685,1.0937328715073436,1.0485056638717651,0.37648306185739083,0.3150599635483926,0.3084569745942166
22,0.02189764908204476,0.14020829334070808,0.16340002888127378,0.02491301723888942,0.15558461206299917,0.20997196648802077,0.802,2.78,0.00267,1.0909452501096224,1.051034927368164,0.38930780009219523,0.3082948734885768,0.30239732432783695
23,0.029127907204000575,0.16144557297229767,0.1818009844997473,0.033279629956398694,0.17979987391403743,0.22937925798552378,0.7929999999999999,2.77,0.0026550000000000002,1.0935913930859482,1.0542950630187988,0.3758737617417386,0.3144201165751407,0.30970612795729385
24,0.022467634558939097,0.1424082351619737,0.1597863571685657,0.014968417185757841,0.11797139474323817,0.1474675919328417,0.784,2.76,0.00264,1.0941904427712423,1.05654776096344,0.37532476061268855,0.3141550390343917,0.31052019826152866
25,0.017354517268311036,0.12296901440672707,0.13623560690566114,0.019978832453489304,0.13996251778943197,0.18268661413873946,0.775,2.75,0.002625,1.0939648548762004,1.0588366985321045,0.3769825127041131,0.3131224779706252,0.30989501978221695
26,0.01794484621240643,0.12505549087859036,0.14363359960547664,0.016364225119884526,0.12486597895622253,0.16059117125613348,0.766,2.74,0.00261,1.092143690376951,1.0603256225585938,0.3846465030260253,0.3095607940565076,0.30579269664329395
