epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean,alpha_lf3_mean,alpha_lf4_mean
1,4.4504380095423315,1.897013921486704,2.2518464609196314,1.2282361941678184,0.982643893786839,0.9192764163017273,0.991,2.99,0.0029850000000000002,1.608830918345535,1.0013729333877563,0.20793510947311133,0.20020724440875806,0.19743903582556205,0.19731753175718741,0.19710101317941098
2,1.0502505386084842,0.9652045254121747,1.0289855191582127,1.6694242741380418,1.1936873197555542,1.203003934451512,0.982,2.98,0.00297,1.6045240812134325,1.0023612976074219,0.23909600941758408,0.1944513569275538,0.19012550434522463,0.18860744645721034,0.18771967736252568
3,0.9192155934216684,0.8909463485081991,0.9354119802776136,1.1541568892342704,1.0248544556753976,1.090695789882115,0.973,2.97,0.002955,1.5764317136061818,1.0021007061004639,0.30761226959395827,0.17751432719983554,0.1745833346718236,0.17103664054159531,0.16925344550818727
4,0.5625223872954386,0.7107491974245038,0.7874000438472681,0.34794844474111286,0.5558063430445535,0.5897179586546761,0.964,2.96,0.00294,1.5392028490702312,1.0020134449005127,0.3522224070733054,0.16628697161611758,0.16392328001950918,0.15961459736552155,0.1579527236651956
5,0.2024589008406589,0.4227961960591768,0.4630413630552459,0.2832837530544826,0.5284121930599213,0.6496628224849701,0.955,2.95,0.002925,1.2816182312212492,1.0027332305908203,0.5669564008712769,0.11148463424883391,0.11076187237835768,0.10624431544228603,0.10455278490196195
6,0.12745555477184162,0.34551231066385907,0.39960538922694694,0.2123982927628926,0.44422746130398344,0.4817627029759543,0.946,2.94,0.0029100000000000003,1.4144182267941927,1.0035264492034912,0.478192691217389,0.13393040968660722,0.13318571814319544,0.12820381422837576,0.12648737574355645
7,0.14098022636352925,0.34900376815022083,0.38749896565027403,0.16883046259837492,0.3657637472663607,0.3543590647833688,0.9369999999999999,2.93,0.002895,1.3701880521941603,1.0040342807769775,0.5100862206074229,0.12598443083595812,0.1251313129537984,0.12023036913913593,0.11856766149663088
8,0.06988853314205219,0.2537860629851358,0.2890786502444953,0.07467712222465447,0.25790921492236,0.27275170598711285,0.9279999999999999,2.92,0.00288,1.3989496293820833,1.0034135580062866,0.4894802172978719,0.13122912470185966,0.13035797079404196,0.12533331753914817,0.1235993569880201
9,0.0427867713988873,0.199340988930903,0.22986982396820135,0.04351091305060046,0.19830380167279923,0.21504935835089004,0.919,2.91,0.002865,1.3153752485911052,1.0028873682022095,0.5467755010253504,0.1167998010652107,0.11592010604707818,0.11106256591646295,0.10944202019457232
10,0.06258847675563996,0.23474504654867606,0.26272717641111004,0.03716579798076834,0.1771406020436968,0.1928407752088138,0.91,2.9,0.00285,1.3161811870441102,1.0032069683074951,0.5454592642031217,0.11705706464616876,0.11623673271714595,0.11140902418839305,0.10983791228449136
11,0.03141155172335474,0.17020973301770395,0.19497738229601005,0.04736215913934367,0.21432389744690486,0.25672395314489094,0.901,2.89,0.002835,1.3275764030322694,1.002791404724121,0.5386641548390974,0.11881208354443834,0.11803014236584045,0.1130854518789994,0.11140816880945574
12,0.030998230666706438,0.16876690246556936,0.20006702578904337,0.04020835020180259,0.1822144165635109,0.19474287969725473,0.892,2.88,0.00282,1.3381772145890354,1.004077672958374,0.5316405965570818,0.12039774002736076,0.1198945063770863,0.11489503660745788,0.11317211703250282
13,0.030747505002900175,0.16706457577253642,0.19337827437802366,0.0736679072890963,0.2664852759667805,0.35910036840609144,0.883,2.87,0.002805,1.3174957894442374,1.0050690174102783,0.5439429230857313,0.11718673598870896,0.11681576099312097,0.11185011097736526,0.11020448647047344
14,0.09108448852049678,0.28327523773176627,0.3298863522839128,0.09252236650458404,0.27947833814791273,0.312532371708325,0.874,2.86,0.00279,1.2922780095485218,1.005533218383789,0.5592653029843381,0.11324362247659449,0.11302066476721513,0.10804795068606995,0.10642246901988983
15,0.06520461630925797,0.24185791010396523,0.2821754677253857,0.03402570129505226,0.1831578016281128,0.21907921667609895,0.865,2.85,0.002775,1.3588205094923054,1.00580632686615,0.5165069186896608,0.12395127797335909,0.12381287468107123,0.11874750622531824,0.11698141432645028
16,0.05051959539649256,0.20608331668272353,0.2334119910210894,0.07315655558237008,0.2515789419412613,0.261272777404104,0.856,2.84,0.00276,1.2912089741020871,1.006306529045105,0.5612988200104028,0.11282342986056679,0.11261312075351414,0.10753131893120314,0.10573330508512363
17,0.0337028818106965,0.1727084046915958,0.1986877165342632,0.03782618498163564,0.18107479704277857,0.19049008935689926,0.847,2.83,0.002745,1.3041336599149203,1.0075421333312988,0.5535806365180433,0.11475464074235213,0.1146087552371778,0.10942902690485905,0.10762693837546465
18,0.02787202760054354,0.15824147980464132,0.18036902839677377,0.028539096537445272,0.1629450587289674,0.18473010723079955,0.838,2.82,0.0027300000000000002,1.3521459583650555,1.0088846683502197,0.5220130336912054,0.12246864262902946,0.12268250736228206,0.11736690096165005,0.11546891444084938
19,0.02584149008780195,0.1550272439132657,0.17777199141289057,0.029123842184032713,0.16133598663977214,0.18802171839135035,0.829,2.81,0.002715,1.2550757914258723,1.012017011642456,0.5828382676107842,0.10706122690125515,0.10743238946847748,0.10225900903082731,0.10040909914593947
20,0.023938460831056562,0.1481615319325213,0.17185380532030473,0.04532514006963798,0.20440431364945003,0.22932967969349452,0.82,2.8,0.0027,1.3479392131169636,1.0152561664581299,0.5235998233159384,0.12192213796732719,0.12242747555699265,0.1169616228394341,0.11508893548396595
21,0.023300297525629662,0.1467646594371712,0.1720226830557773,0.02633120897891266,0.1533836786236082,0.16528651756899698,0.8109999999999999,2.79,0.002685,1.2619085646512216,1.0184569358825684,0.5781498540911758,0.10815799027158503,0.10883647883147524,0.103306494522513,0.10154918241396285
22,0.036815514297861805,0.17690089384191915,0.20847817758719125,0.020970193137015616,0.14018062395708902,0.16268560183899744,0.802,2.78,0.00267,1.278439249908715,1.019810676574707,0.5685113375647026,0.11050688305444885,0.11140015172330957,0.1056993695204718,0.1038822582677791
23,0.02064357603197558,0.13868302878057748,0.16507856469405324,0.01612321407135044,0.12204757439238685,0.14219878720385687,0.7929999999999999,2.77,0.0026550000000000002,1.2814655680405467,1.0222125053405762,0.5658959903215107,0.11112570344356068,0.11202428411496312,0.10640592441747063,0.10454809351971275
24,0.018096343793889934,0.13070145432363478,0.15319329735479856,0.023883404077163765,0.15310046821832657,0.18225676353488648,0.784,2.76,0.00264,1.3156403344974184,1.0259491205215454,0.5448570627915231,0.11636975303030851,0.11730950077374776,0.11168420236361654,0.10977948626928162
25,0.017539130736207754,0.1272218559394803,0.1559381775165859,0.020987286498504027,0.1392792495233672,0.15636033990553447,0.775,2.75,0.002625,1.2646122397037975,1.028557300567627,0.5764999849754467,0.10837453185466298,0.1093760951046358,0.10383136452812898,0.10191802458282102
26,0.012970452834116785,0.11061323813179083,0.13221103907154316,0.020301535991685733,0.13893193645136698,0.17555796035698482,0.766,2.74,0.00261,1.280407050199676,1.032891869544983,0.567421299323701,0.11063679739048607,0.11183762367357288,0.1060345321893692,0.10406974075656188
27,0.01949854907498025,0.132410718422187,0.1547699403344539,0.02285642715703164,0.14642796239682607,0.17366968201739447,0.757,2.73,0.002595,1.317624893104821,1.0356868505477905,0.544057662026924,0.11665453369680204,0.1177193119860532,0.11174091200033824,0.10982757819849148
28,0.015640147455167352,0.11673706822228014,0.1335621826481401,0.021010768865900382,0.14218430008207047,0.18373925132410868,0.748,2.7199999999999998,0.00258,1.2607795104645847,1.040858507156372,0.5789845732220432,0.10766027671726126,0.10907820886687229,0.10305048943611614,0.1012264456142459
29,0.014290971093271909,0.11416522779485636,0.13392441288421028,0.031143727845379283,0.16262156409876688,0.16965795308351517,0.739,2.71,0.002565,1.3193228412092777,1.044535517692566,0.5433546911206162,0.11633541552644026,0.11834613469086196,0.111921850526542,0.11004189702502468
