Group,Case,Ours_mean_nRMSE,Ours_std_nRMSE,Paper_mean_nRMSE,Paper_std_nRMSE,Ours_over_Paper,Verdict
Poisson full,l2,0.013924,0.000625,0.007600,0.000749,1.83,Worse
Poisson full,l3,0.016800,0.000680,0.007300,0.000525,2.30,Worse
Poisson full,l5,0.023363,0.008331,0.004600,0.000120,5.08,Worse
Poisson OOD,l2,0.054432,0.009179,0.017000,0.002720,3.20,Worse
Poisson OOD,l3,0.054679,0.005340,0.018000,0.001270,3.04,Worse
Poisson OOD,l5,0.062590,0.013875,0.013000,0.000276,4.81,Worse
Heat full,l2,0.000922,0.000031,0.005000,0.000327,0.18,Better
Heat full,l3,0.001048,0.000264,0.003900,0.000294,0.27,Better
Heat full,l5,0.001332,0.000176,0.004500,0.000294,0.30,Better
Fluid full,l2,0.029856,0.004400,0.129000,0.000819,0.23,Better
Heat OOD,l2,0.005941,0.001381,0.005000,0.000133,1.19,Close / Slightly Worse
Heat OOD,l3,0.005520,0.001428,0.004000,0.000382,1.38,Close / Worse
Heat OOD,l5,0.005210,0.000637,0.012000,0.010500,0.43,Better
