dataset,partition,model,kind,budget,n_eval,mean_rel_l2
sharp__cahn_hilliard,71,mf_fno_transfer_film,individual,,20,0.4007639885155297
sharp__cahn_hilliard,71,mf_fno_allpairs,individual,,20,0.3900988056487902
sharp__cahn_hilliard,71,convnext_unet_film,individual,,20,0.3917753671447145
sharp__cahn_hilliard,71,fno_fire_distcond,individual,,20,0.4155625676401174
sharp__cahn_hilliard,71,wno_transfer_film,individual,,20,0.5659108025041879
sharp__cahn_hilliard,71,mf_deeponet,individual,,20,0.8458821321193964
sharp__cahn_hilliard,71,st_hf_pod_gp,individual,,20,0.6353547282224883
sharp__cahn_hilliard,71,uqcorr_transolver_pred,individual,,20,0.5634855980722407
sharp__cahn_hilliard,71,uqcorr_convnext_pred,individual,,20,0.3811419997883154
sharp__cahn_hilliard,71,st_koh_pod,baseline,,20,0.6352658078074456
sharp__cahn_hilliard,71,st_nargp_pod,baseline,,20,0.8331061691045761
sharp__cahn_hilliard,71,st_mfdnn,baseline,,20,0.86698959171772
sharp__cahn_hilliard,71,st_mfdeeponet,baseline,,20,0.42650369331240656
sharp__cahn_hilliard,71,st_dmfal,baseline,,20,0.38185796663165095
sharp__cahn_hilliard,71,nomad_mf,baseline,,20,0.6385860662748698
sharp__cahn_hilliard,71,mfrnp,baseline,,20,0.6297811141202353
sharp__cahn_hilliard,71,fno_coregionalization,baseline,,20,0.39537653125581057
sharp__cahn_hilliard,71,mf_fno_transfer,baseline,,20,0.4721556961327269
sharp__cahn_hilliard,71,mf_fno_transfer_bar,baseline,,20,0.4721556961327269
sharp__cahn_hilliard,71,st_lf_affine_pod,baseline,,20,0.6354457959532738
sharp__cahn_hilliard,71,st_knn,baseline,,20,0.7240033730864525
sharp__cahn_hilliard,71,st_mean,baseline,,20,1.0078663855791092
sharp__cahn_hilliard,71,selected_single,ensemble,5,20,0.4007639885155297
sharp__cahn_hilliard,71,inverse_mse,ensemble,5,20,0.39744873467345515
sharp__cahn_hilliard,71,full,ensemble,5,20,0.41978057625467047
sharp__cahn_hilliard,71,uniform,ensemble,5,20,0.42115002579159333
sharp__cahn_hilliard,71,auto,ensemble,5,20,0.4007639885155297
sharp__cahn_hilliard,71,selected_single,ensemble,10,20,0.4007639885155297
sharp__cahn_hilliard,71,inverse_mse,ensemble,10,20,0.4026748216526247
sharp__cahn_hilliard,71,full,ensemble,10,20,0.4674041701586319
sharp__cahn_hilliard,71,uniform,ensemble,10,20,0.42115002579159333
sharp__cahn_hilliard,71,auto,ensemble,10,20,0.4007639885155297
sharp__cahn_hilliard,71,selected_single,ensemble,20,20,0.4007639885155297
sharp__cahn_hilliard,71,inverse_mse,ensemble,20,20,0.4012527420201913
sharp__cahn_hilliard,71,full,ensemble,20,20,0.4449241678782564
sharp__cahn_hilliard,71,uniform,ensemble,20,20,0.42115002579159333
sharp__cahn_hilliard,71,auto,ensemble,20,20,0.4007639885155297
sharp__cahn_hilliard,172,mf_fno_transfer_film,individual,,20,0.4276913905337885
sharp__cahn_hilliard,172,mf_fno_allpairs,individual,,20,0.46789630684498
sharp__cahn_hilliard,172,convnext_unet_film,individual,,20,0.5250386272402812
sharp__cahn_hilliard,172,fno_fire_distcond,individual,,20,0.48309251368587347
sharp__cahn_hilliard,172,wno_transfer_film,individual,,20,0.5456025702991764
sharp__cahn_hilliard,172,mf_deeponet,individual,,20,0.9015166203662777
sharp__cahn_hilliard,172,st_hf_pod_gp,individual,,20,0.6187262114165957
sharp__cahn_hilliard,172,uqcorr_transolver_pred,individual,,20,0.4860108056981458
sharp__cahn_hilliard,172,uqcorr_convnext_pred,individual,,20,0.4325618081040723
sharp__cahn_hilliard,172,st_koh_pod,baseline,,20,0.6190556965768337
sharp__cahn_hilliard,172,st_nargp_pod,baseline,,20,0.8250412762165069
sharp__cahn_hilliard,172,st_mfdnn,baseline,,20,0.7887376546859741
sharp__cahn_hilliard,172,st_mfdeeponet,baseline,,20,0.49670676589012147
sharp__cahn_hilliard,172,st_dmfal,baseline,,20,0.4787016149610281
sharp__cahn_hilliard,172,nomad_mf,baseline,,20,0.701122110972981
sharp__cahn_hilliard,172,mfrnp,baseline,,20,0.6677249346120889
sharp__cahn_hilliard,172,fno_coregionalization,baseline,,20,0.5460006602795895
sharp__cahn_hilliard,172,mf_fno_transfer,baseline,,20,0.5031593597119661
sharp__cahn_hilliard,172,mf_fno_transfer_bar,baseline,,20,0.5031593597119661
sharp__cahn_hilliard,172,st_lf_affine_pod,baseline,,20,0.6191438242793084
sharp__cahn_hilliard,172,st_knn,baseline,,20,0.7598513111472129
sharp__cahn_hilliard,172,st_mean,baseline,,20,1.0048214852809907
sharp__cahn_hilliard,172,selected_single,ensemble,5,20,0.5250386272402812
sharp__cahn_hilliard,172,inverse_mse,ensemble,5,20,0.4410164070236326
sharp__cahn_hilliard,172,full,ensemble,5,20,0.4856964810068737
sharp__cahn_hilliard,172,uniform,ensemble,5,20,0.4538402056699706
sharp__cahn_hilliard,172,auto,ensemble,5,20,0.5250386272402812
sharp__cahn_hilliard,172,selected_single,ensemble,10,20,0.5250386272402812
